Quarter,Time,Tm,Detail,CIN,CAR
1.0,7:40,Bengals,Giovani Bernard 1 yard rush (Randy Bullock kick),7,0
,3:02,Panthers,Cam Newton 2 yard rush (Graham Gano kick),7,7
2.0,12:03,Panthers,Devin Funchess 4 yard pass from Cam Newton (Graham Gano kick),7,14
,6:59,Bengals,C.J. Uzomah 1 yard pass from Andy Dalton (Randy Bullock kick),14,14
,2:47,Panthers,C.J. Anderson 24 yard pass from Cam Newton (Graham Gano kick),14,21
3.0,5:34,Panthers,Cam Newton 5 yard rush (Graham Gano kick),14,28
,2:53,Bengals,Tyler Boyd 27 yard pass from Andy Dalton (Randy Bullock kick),21,28
4.0,1:11,Panthers,Graham Gano 40 yard field goal,21,31
