Unnamed: 0,DAL,SEA
First Downs,24,25
Rush-Yds-TDs,31-198-3,27-109-2
Cmp-Att-Yd-TD-INT,18-34-225-2-2,28-40-414-3-0
Sacked-Yards,3-18,2-16
Net Pass Yards,207,398
Total Yards,405,507
Fumbles-Lost,1-0,3-2
Turnovers,2,2
Penalties-Yards,6-49,6-44
Third Down Conv.,7-15,6-12
Fourth Down Conv.,0-0,2-3
Time of Possession,28:43,31:17
