Unnamed: 0,ARI,SFO
First Downs,26,18
Rush-Yds-TDs,25-98-0,33-206-0
Cmp-Att-Yd-TD-INT,23-40-316-2-3,15-26-204-2-0
Sacked-Yards,2-17,1-15
Net Pass Yards,299,189
Total Yards,397,395
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,3-21,10-78
Third Down Conv.,4-10,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:36,29:24
