Quarter,Time,Tm,Detail,ARI,SFO
1.0,10:55,Cardinals,Michael Floyd 20 yard pass from Ryan Lindley (Chandler Catanzaro kick),7,0
,9:24,49ers,Anquan Boldin 76 yard pass from Colin Kaepernick (Phil Dawson kick),7,7
2.0,12:33,49ers,Phil Dawson 53 yard field goal,7,10
,6:04,49ers,Phil Dawson 37 yard field goal,7,13
,1:35,Cardinals,Chandler Catanzaro 36 yard field goal,10,13
,0:36,Cardinals,Michael Floyd 41 yard pass from Ryan Lindley (Chandler Catanzaro kick),17,13
3.0,0:25,49ers,Bruce Miller 3 yard pass from Colin Kaepernick (Phil Dawson kick),17,20
