Unnamed: 0,TAM,ATL
First Downs,15,26
Rush-Yds-TDs,27-140-2,36-150-1
Cmp-Att-Yd-TD-INT,11-19-118-0-1,21-38-306-2-0
Sacked-Yards,0-0,3-13
Net Pass Yards,118,293
Total Yards,258,443
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,8-55,11-87
Third Down Conv.,2-8,11-17
Fourth Down Conv.,0-0,0-1
Time of Possession,23:58,36:02
