Quarter,Time,Tm,Detail,HOU,MIN
1.0,11:23,Vikings,Adam Thielen 36 yard pass from Sam Bradford (Blair Walsh kick),0,7
,6:28,Vikings,Matt Asiata 1 yard rush (Blair Walsh kick),0,14
2.0,9:58,Vikings,Blair Walsh 19 yard field goal,0,17
,8:46,Vikings,Marcus Sherels 79 yard punt return (Blair Walsh kick),0,24
,5:42,Texans,Nick Novak 38 yard field goal,3,24
,1:37,Texans,Nick Novak 30 yard field goal,6,24
4.0,14:09,Vikings,Cordarrelle Patterson 9 yard pass from Sam Bradford (Blair Walsh kick),6,31
,3:46,Texans,DeAndre Hopkins 1 yard pass from Brock Osweiler (Nick Novak kick),13,31
