Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
1,9:08,2,10,HOU 42,0,7,Jerick McKinnon left guard for 4 yards (tackle by Christian Covington and Quintin Demps),2.240,2.080
1,8:28,3,6,HOU 38,0,7,Sam Bradford pass complete short left to Matt Asiata for 23 yards (tackle by John Simon),2.080,4.580
1,8:05,1,10,HOU 15,0,7,"Sam Bradford pass complete short left to Adam Thielen for 2 yards (tackle by A.J. Bouye). Penalty on HOU: Defensive 12 On-field, 5 yards (no play)",4.580,5.740
1,8:02,1,5,HOU 10,0,7,Jerick McKinnon left end for 8 yards (tackle by Benardrick McKinney),5.740,6.740
1,7:34,1,2,HOU 2,0,7,Jerick McKinnon middle for 1 yard (tackle by Quintin Demps and John Simon),6.740,5.910
1,6:53,2,1,HOU 1,0,7,Matt Asiata middle for no gain (tackle by Joel Heath). Penalty on Jadeveon Clowney: Face Mask (15 Yards) (no play),5.910,6.970
1,6:33,1,1,HOU 1,0,13,"Matt Asiata middle for 1 yard, touchdown",6.970,7.000
1,6:33,,,HOU 1,0,14,Blair Walsh kicks extra point good,0.000,0.000
1,6:33,,,MIN 35,0,14,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
1,6:28,1,10,HOU 25,0,14,Lamar Miller left end for 1 yard (tackle by Eric Kendricks and Captain Munnerlyn),0.610,0.200
1,5:52,2,9,HOU 26,0,14,Lamar Miller left end for 4 yards (tackle by Linval Joseph and Anthony Barr),0.200,0.200
1,5:16,2,9,HOU 26,0,14,Timeout #1 by Houston Texans,0.200,0.040
1,5:16,3,5,HOU 30,0,14,Brock Osweiler pass incomplete short right intended for Lamar Miller (defended by Eric Kendricks),0.040,-1.370
1,5:13,4,5,HOU 30,0,14,"Shane Lechler punts 54 yards, returned by Marcus Sherels for 14 yards (tackle by Brennan Scarlett). Penalty on Justin Trattou: Offensive Holding, 8 yards",-1.370,0.380
1,5:01,1,10,MIN 8,0,14,Jerick McKinnon right guard for 1 yard (tackle by John Simon and Brian Cushing),-0.380,-0.710
1,4:23,2,9,MIN 9,0,14,Sam Bradford pass complete short left to Jarius Wright for 4 yards (tackle by A.J. Bouye),-0.710,-0.840
1,4:23,3,5,MIN 13,0,14,"Penalty on Jeremiah Sirles: False Start, 5 yards (no play)",-0.840,-1.420
1,3:34,3,10,MIN 8,0,14,Sam Bradford sacked by Antonio Smith and Whitney Mercilus for -7 yards,-1.420,-2.490
1,2:52,4,17,MIN 1,0,14,"Jeff Locke punts 55 yards, returned by Tyler Ervin for 18 yards (tackle by Cordarrelle Patterson)",-2.490,-3.050
1,2:42,1,10,MIN 38,0,14,Brock Osweiler pass complete short left to Lamar Miller for 4 yards (tackle by Eric Kendricks),3.050,3.050
1,2:09,2,6,MIN 34,0,14,Lamar Miller right tackle for 1 yard (tackle by Danielle Hunter and Linval Joseph),3.050,2.480
1,1:27,3,5,MIN 33,0,14,Brock Osweiler pass incomplete short left intended for Ryan Griffin,2.480,1.170
1,1:21,4,5,MIN 33,0,14,Nick Novak 51 yard field goal no good,1.170,-1.660
1,1:17,1,10,MIN 41,0,14,Cordarrelle Patterson right end for 7 yards (tackle by Johnathan Joseph and Kevin Johnson),1.660,2.070
1,0:47,2,3,MIN 48,0,14,Jerick McKinnon left tackle for -3 yards (tackle by Christian Covington),2.070,0.960
1,0:09,3,6,MIN 45,0,14,Sam Bradford pass complete short middle to Jarius Wright for 10 yards (tackle by Charles James),0.960,2.590
Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 45,0,14,Matt Asiata left tackle for 2 yards (tackle by Jadeveon Clowney),2.590,2.310
2,14:19,2,8,HOU 43,0,14,Sam Bradford pass complete short right to Adam Thielen for 7 yards (tackle by Kevin Johnson),2.310,2.540
2,13:46,3,1,HOU 36,0,14,Matt Asiata middle for 2 yards (tackle by Vince Wilfork and Benardrick McKinney),2.540,3.310
2,13:22,1,10,HOU 34,0,14,Sam Bradford pass incomplete short right intended for Cordarrelle Patterson,3.310,3.310
2,13:17,1,10,HOU 34,0,14,Timeout #1 by Minnesota Vikings,3.310,2.770
2,13:17,2,10,HOU 34,0,14,Sam Bradford pass complete short right to Jerick McKinnon for 10 yards,2.770,3.970
2,12:44,1,10,HOU 24,0,14,Sam Bradford pass incomplete deep right intended for Kyle Rudolph,3.970,3.430
2,12:42,2,10,HOU 24,0,14,Jerick McKinnon middle for 3 yards (tackle by Charles James and Benardrick McKinney),3.430,3.140
2,12:02,3,7,HOU 21,0,14,Sam Bradford pass complete short left to Jarius Wright for 11 yards (tackle by Charles James),3.140,4.910
2,11:25,1,10,HOU 10,0,14,Jerick McKinnon left tackle for -6 yards (tackle by Jadeveon Clowney),4.910,3.340
2,10:51,2,16,HOU 16,0,14,Sam Bradford pass complete short right to Cordarrelle Patterson for 15 yards (tackle by Benardrick McKinney),3.340,5.170
2,10:05,3,1,HOU 1,0,14,Sam Bradford pass incomplete short right intended for Zach Line (defended by Eddie Pleasant),5.170,3.550
2,10:01,4,1,HOU 1,0,17,Blair Walsh 19 yard field goal good,3.550,3.000
2,10:01,,,MIN 35,0,17,"Blair Walsh kicks off 64 yards, returned by Tyler Ervin for 20 yards (tackle by Emmanuel Lamur)",0.000,-0.340
2,9:54,1,10,HOU 21,0,17,Brock Osweiler pass incomplete short right intended for Lamar Miller (defended by Harrison Smith),0.340,-0.200
2,9:51,2,10,HOU 21,0,17,Lamar Miller middle for 1 yard (tackle by Tom Johnson),-0.200,-0.760
2,9:09,3,9,HOU 22,0,17,Brock Osweiler pass incomplete short left intended for Jaelen Strong (defended by Captain Munnerlyn),-0.760,-1.900
2,9:05,4,9,HOU 22,0,23,"Shane Lechler punts 57 yards, returned by Marcus Sherels for 79 yards, touchdown",-1.900,-7.000
2,8:46,,,HOU 22,0,24,Blair Walsh kicks extra point good,0.000,0.000
2,8:46,,,MIN 35,0,24,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
2,8:46,1,10,HOU 25,0,24,Brock Osweiler pass complete short left to Jaelen Strong for 6 yards (tackle by Captain Munnerlyn),0.610,0.870
2,8:13,2,4,HOU 31,0,24,"Brock Osweiler pass incomplete deep left intended for DeAndre Hopkins. Penalty on Xavier Rhodes: Defensive Pass Interference, 34 yards (no play)",0.870,3.250
2,8:07,1,10,MIN 35,0,24,Brock Osweiler sacked by Brian Robison for -6 yards,3.250,1.890
2,7:23,2,16,MIN 41,0,24,Brock Osweiler pass incomplete short left intended for Ryan Griffin,1.890,1.220
2,7:19,3,16,MIN 41,0,24,Brock Osweiler pass complete short right to Braxton Miller for 12 yards (tackle by Eric Kendricks),1.220,1.220
2,6:40,3,16,MIN 41,0,24,Timeout #2 by Houston Texans,1.220,1.560
2,6:40,4,4,MIN 29,0,24,"Brock Osweiler sacked by Everson Griffen for -5 yards. Penalty on Xavier Rhodes: Defensive Holding, 5 yards (no play)",1.560,3.970
2,6:35,1,10,MIN 24,0,24,Lamar Miller left guard for 4 yards (tackle by Shamar Stephen),3.970,3.970
2,5:57,2,6,MIN 20,0,24,Brock Osweiler pass incomplete deep right intended for Ryan Griffin,3.970,3.270
2,5:52,3,6,MIN 20,0,24,Brock Osweiler pass incomplete deep left intended for DeAndre Hopkins,3.270,2.150
2,5:46,4,6,MIN 20,3,24,Nick Novak 38 yard field goal good,2.150,3.000
2,5:46,,,HOU 35,3,24,"Brian Peters kicks off 57 yards, returned by Charles Johnson for 16 yards (tackle by Tyler Ervin)",0.000,-0.540
2,5:38,1,10,MIN 24,3,24,Jerick McKinnon left end for 2 yards (tackle by Brian Cushing),0.540,0.270
2,5:10,2,8,MIN 26,3,24,Sam Bradford pass complete short right to Kyle Rudolph for 1 yard (tackle by Kevin Johnson),0.270,-0.300
2,4:31,3,7,MIN 27,3,24,Sam Bradford sacked by Whitney Mercilus for -9 yards,-0.300,-2.240
2,3:51,4,16,MIN 18,3,24,Jeff Locke punts 36 yards,-2.240,-1.990
2,3:41,1,10,HOU 46,3,24,Brock Osweiler pass complete short right to Ryan Griffin for 5 yards (tackle by Anthony Barr),1.990,2.130
2,3:15,2,5,MIN 49,3,24,Lamar Miller middle for 4 yards (tackle by Harrison Smith),2.130,1.950
2,2:42,3,1,MIN 45,3,24,Brock Osweiler pass incomplete short left intended for DeAndre Hopkins (defended by Eric Kendricks),1.950,0.270
2,2:38,4,1,MIN 45,3,24,"Brock Osweiler sacked by Everson Griffen for -7 yards. Brock Osweiler fumbles (forced by Everson Griffen), recovered by Shamar Stephen at HOU-47 (tackle by Jeff Allen). Penalty on Everson Griffen: Defensive Offside, 5 yards (no play)",0.270,2.920
2,2:35,1,10,MIN 40,3,24,Brock Osweiler pass complete short left to C.J. Fiedorowicz for 9 yards (tackle by Chad Greenway),2.920,3.590
2,2:03,2,1,MIN 31,3,24,Lamar Miller left guard for 4 yards (tackle by Everson Griffen and Linval Joseph),3.590,3.780
2,1:59,1,10,MIN 27,3,24,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 15 yards,3.780,4.780
2,1:53,1,10,MIN 12,3,24,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz,4.780,4.100
2,1:51,2,10,MIN 12,3,24,Brock Osweiler pass incomplete short right intended for Ryan Griffin,4.100,4.100
2,1:46,2,10,MIN 12,3,24,Timeout #3 by Houston Texans,4.100,3.120
2,1:46,3,10,MIN 12,3,24,Brock Osweiler pass incomplete short right intended for Will Fuller,3.120,2.630
2,1:41,4,10,MIN 12,6,24,Nick Novak 30 yard field goal good,2.630,3.000
2,1:41,,,HOU 35,6,24,"Nick Novak kicks off 60 yards, returned by Marcus Sherels for 17 yards (tackle by Brennan Scarlett)",0.000,-0.410
2,1:30,1,10,MIN 22,6,24,Sam Bradford pass complete short left to Charles Johnson for 2 yards (tackle by Charles James),0.410,0.140
2,0:47,2,8,MIN 24,6,24,Matt Asiata middle for 6 yards (tackle by Christian Covington),0.140,0.230
Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,6,24,"Blair Walsh kicks off 67 yards, returned by Tyler Ervin for 33 yards (tackle by Andrew Sendejo)",0.000,-1.000
3,14:54,1,10,HOU 31,6,24,Brock Osweiler pass incomplete deep right intended for Will Fuller,1.000,0.460
3,14:48,2,10,HOU 31,6,24,"Brock Osweiler sacked by Brian Robison for -8 yards. Brock Osweiler fumbles (forced by Brian Robison), recovered by Lamar Miller at HOU-29",0.460,-0.490
3,14:26,3,12,HOU 29,6,24,Brock Osweiler pass complete short right to Jaelen Strong for 6 yards (tackle by Andrew Sendejo),-0.490,-1.040
3,13:54,4,6,HOU 35,6,24,"Shane Lechler punts 53 yards, returned by Marcus Sherels for 9 yards (tackle by K.J. Dillon)",-1.040,-0.340
3,13:45,1,10,MIN 21,6,24,Sam Bradford pass complete deep left to Adam Thielen for 31 yards (tackle by A.J. Bouye),0.340,2.390
3,13:08,1,10,HOU 48,6,24,Jerick McKinnon middle for -1 yards (tackle by Jadeveon Clowney),2.390,1.710
3,12:28,2,11,HOU 49,6,24,"Penalty on Jeremiah Sirles: False Start, 5 yards (no play)",1.710,1.040
3,12:12,2,16,MIN 46,6,24,Jerick McKinnon middle for 1 yard (tackle by Jadeveon Clowney),1.040,0.500
3,11:33,3,15,MIN 47,6,24,"Sam Bradford pass complete short left to Jarius Wright for 11 yards (tackle by John Simon). Penalty on T.J. Clemmings: Face Mask (15 Yards), 15 yards (no play)",0.500,-1.480
3,11:19,3,30,MIN 32,6,24,Matt Asiata middle for 6 yards (tackle by Eddie Pleasant and Brian Cushing),-1.480,-0.850
3,10:43,4,24,MIN 38,6,24,"Jeff Locke punts 52 yards, returned by Tyler Ervin for 15 yards (tackle by Audie Cole)",-0.850,-0.610
3,10:35,1,10,HOU 25,6,24,Lamar Miller left guard for 1 yard (tackle by Shamar Stephen),0.610,0.200
3,10:01,2,9,HOU 26,6,24,Brock Osweiler pass incomplete deep right intended for Will Fuller,0.200,-0.490
3,9:55,3,9,HOU 26,6,24,"Brock Osweiler pass incomplete deep middle intended for Jaelen Strong is intercepted by Andrew Sendejo at MIN-49 and returned for 2 yards. Penalty on Anthony Barr: Unsportsmanlike Conduct, 15 yards",-0.490,-1.330
3,9:45,1,10,MIN 36,6,24,"Jerick McKinnon right end for no gain (tackle by John Simon). Penalty on Christian Covington: Defensive Offside, 5 yards (no play)",1.330,2.060
3,9:24,1,5,MIN 41,6,24,Jerick McKinnon right end for 1 yard (tackle by Jadeveon Clowney and Benardrick McKinney),2.060,1.600
3,8:57,2,4,MIN 42,6,24,Sam Bradford pass complete short right to Adam Thielen for 10 yards (tackle by Kevin Johnson),1.600,2.390
3,8:16,1,10,HOU 48,6,24,Jerick McKinnon right tackle for 2 yards (tackle by Vince Wilfork),2.390,2.120
3,7:35,2,8,HOU 46,6,24,Sam Bradford pass incomplete short right intended for Jerick McKinnon (defended by John Simon),2.120,1.420
3,7:31,3,8,HOU 46,6,24,Sam Bradford pass incomplete short right intended for Kyle Rudolph (defended by Eddie Pleasant),1.420,0.200
3,7:27,4,8,HOU 46,6,24,"Jeff Locke punts 37 yards, fair catch by Tyler Ervin",0.200,0.380
3,7:21,1,10,HOU 9,6,24,Brock Osweiler pass complete short left to DeAndre Hopkins for 6 yards (tackle by Xavier Rhodes),-0.380,-0.280
3,6:54,2,4,HOU 15,6,24,Brock Osweiler pass complete short middle to Jaelen Strong for 16 yards (tackle by Captain Munnerlyn),-0.280,1.000
3,6:25,1,10,HOU 31,6,24,Brock Osweiler pass incomplete deep right intended for Will Fuller (defended by Terence Newman),1.000,0.460
3,6:20,2,10,HOU 31,6,24,Brock Osweiler pass complete short left to DeAndre Hopkins for 11 yards (tackle by Xavier Rhodes),0.460,1.730
3,5:49,1,10,HOU 42,6,24,Brock Osweiler pass complete short left to DeAndre Hopkins for 25 yards (tackle by Harrison Smith). Penalty on Xavier Rhodes: Defensive Holding (Declined),1.730,3.380
3,5:22,1,10,MIN 33,6,24,Brock Osweiler pass complete short right to Jaelen Strong for 3 yards (tackle by Captain Munnerlyn),3.380,3.240
3,4:45,2,7,MIN 30,6,24,Brock Osweiler pass incomplete short middle intended for C.J. Fiedorowicz,3.240,2.540
3,4:42,3,7,MIN 30,6,24,Brock Osweiler sacked by Tom Johnson for -9 yards,2.540,0.660
3,3:57,4,16,MIN 39,6,24,Brock Osweiler pass complete short left to Will Fuller for 4 yards (tackle by Danielle Hunter and Everson Griffen),0.660,-1.270
3,3:51,1,10,MIN 35,6,24,Jerick McKinnon middle for 2 yards (tackle by Charles James),1.270,0.990
3,3:06,2,8,MIN 37,6,24,Sam Bradford pass complete short right to Jarius Wright for 7 yards (tackle by Kevin Johnson),0.990,1.220
3,2:31,3,1,MIN 44,6,24,Matt Asiata left guard for 5 yards (tackle by Whitney Mercilus),1.220,2.190
3,1:54,1,10,MIN 49,6,24,Sam Bradford pass complete short middle to Kyle Rudolph for 14 yards (tackle by Benardrick McKinney and Brian Cushing),2.190,3.120
3,1:12,1,10,HOU 37,6,24,Sam Bradford pass complete short left to Matt Asiata for 3 yards (tackle by Benardrick McKinney),3.120,2.980
3,0:48,2,7,HOU 34,6,24,Sam Bradford pass complete short left to Adam Thielen for 6 yards (tackle by Charles James),2.980,3.070
3,0:03,3,1,HOU 28,6,24,Sam Bradford pass complete short right to Matt Asiata for 20 yards (tackle by Corey Moore),3.070,5.370
Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,8,HOU 8,6,24,Jerick McKinnon left guard for -1 yards (tackle by Jadeveon Clowney),5.370,4.380
4,14:14,2,9,HOU 9,6,30,"Sam Bradford pass complete short right to Cordarrelle Patterson for 9 yards, touchdown",4.380,7.000
4,14:14,,,HOU 9,6,31,Blair Walsh kicks extra point good,0.000,0.000
4,14:14,,,MIN 35,6,31,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
4,14:09,1,10,HOU 25,6,31,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 15 yards (tackle by Andrew Sendejo),0.610,1.600
4,13:35,1,10,HOU 40,6,31,Brock Osweiler pass incomplete short right intended for DeAndre Hopkins (defended by Terence Newman),1.600,1.050
4,13:32,2,10,HOU 40,6,31,"Brock Osweiler pass incomplete short left intended for Jaelen Strong. Penalty on Captain Munnerlyn: Defensive Holding, 5 yards (no play)",1.050,1.930
4,13:28,1,10,HOU 45,6,31,Brock Osweiler pass incomplete short right intended for Jaelen Strong,1.930,1.380
4,13:21,2,10,HOU 45,6,31,Brock Osweiler pass complete short left to Jaelen Strong for 8 yards (tackle by Captain Munnerlyn),1.380,1.750
4,12:43,3,2,MIN 47,6,31,Brock Osweiler sacked by Danielle Hunter for -12 yards,1.750,-0.650
4,12:04,4,14,HOU 41,6,31,"Shane Lechler punts 46 yards, fair catch by Marcus Sherels",-0.650,0.320
4,11:56,1,10,MIN 13,6,31,Jerick McKinnon left guard for 3 yards (tackle by Benardrick McKinney and D.J. Reader),-0.320,-0.440
4,11:11,2,7,MIN 16,6,31,Sam Bradford pass incomplete short right intended for Cordarrelle Patterson (defended by Kevin Johnson),-0.440,-1.060
4,11:07,3,7,MIN 16,6,31,Sam Bradford pass complete short right to Adam Thielen for 14 yards (tackle by Charles James),-1.060,0.940
4,10:28,1,10,MIN 30,6,31,Matt Asiata right guard for 2 yards (tackle by Christian Covington),0.940,0.660
4,9:47,2,8,MIN 32,6,31,Matt Asiata left guard for 6 yards (tackle by Jadeveon Clowney),0.660,0.760
4,9:07,3,2,MIN 38,6,31,Jerick McKinnon left end for no gain (tackle by Benardrick McKinney),0.760,-0.850
4,8:27,4,2,MIN 38,6,31,"Jeff Locke punts 51 yards, returned by Will Fuller for 14 yards (tackle by Emmanuel Lamur)",-0.850,-0.610
4,8:15,1,10,HOU 25,6,31,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz,0.610,0.060
4,8:12,2,10,HOU 25,6,31,Alfred Blue right guard for 12 yards (tackle by Andrew Sendejo),0.060,1.400
4,7:45,1,10,HOU 37,6,31,Alfred Blue middle for 8 yards (tackle by Eric Kendricks),1.400,1.940
4,7:08,2,2,HOU 45,6,31,Alfred Blue right guard for 4 yards (tackle by Harrison Smith),1.940,2.190
4,6:35,1,10,HOU 49,6,31,Brock Osweiler pass incomplete short right intended for Will Fuller (defended by Danielle Hunter),2.190,1.650
4,6:32,2,10,HOU 49,6,31,Alfred Blue middle for 13 yards (tackle by Harrison Smith and Linval Joseph),1.650,3.050
4,6:01,1,10,MIN 38,6,31,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz,3.050,2.510
4,5:58,2,10,MIN 38,6,31,Alfred Blue middle for 2 yards (tackle by Eric Kendricks),2.510,2.080
4,5:25,3,8,MIN 36,6,31,Brock Osweiler pass complete short left to DeAndre Hopkins for 13 yards,2.080,4.040
4,4:45,1,10,MIN 23,6,31,Alfred Blue middle for no gain (tackle by Harrison Smith),4.040,3.500
4,4:27,2,10,MIN 23,6,31,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 22 yards (tackle by Andrew Sendejo and Harrison Smith),3.500,6.970
4,3:48,1,1,MIN 1,12,31,"Brock Osweiler pass complete short left to DeAndre Hopkins for 1 yard, touchdown",6.970,7.000
4,3:48,,,MIN 1,13,31,Nick Novak kicks extra point good,0.000,0.000
4,3:48,,,HOU 35,13,31,"Nick Novak kicks onside 11 yards, recovered by Laquon Treadwell",0.000,-2.520
4,3:44,1,10,HOU 46,13,31,Matt Asiata right guard for 4 yards (tackle by K.J. Dillon),2.520,2.520
4,3:32,1,10,HOU 46,13,31,Timeout #1 by Houston Texans,2.520,2.520
4,3:32,2,6,HOU 42,13,31,Matt Asiata middle for 7 yards (tackle by Corey Moore and Christian Covington),2.520,3.250
4,2:47,1,10,HOU 35,13,31,Matt Asiata middle for 4 yards (tackle by K.J. Dillon and Brennan Scarlett),3.250,3.250
4,2:41,1,10,HOU 35,13,31,Timeout #2 by Houston Texans,3.250,3.240
4,2:41,2,6,HOU 31,13,31,Matt Asiata left guard for 8 yards (tackle by Akeem Dent),3.240,4.040
4,2:00,1,10,HOU 23,13,31,Matt Asiata left guard for 3 yards (tackle by Joel Heath),4.040,3.900
4,1:16,2,7,HOU 20,13,31,Sam Bradford kneels for -1 yards,3.900,3.070
4,0:37,3,8,HOU 21,13,31,Sam Bradford kneels for -1 yards,3.070,1.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
