#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIN 16,8,3:37,84,Touchdown
2,1,10:20,MIN 45,8,3:52,55,Touchdown
3,1,5:01,MIN 8,3,2:19,-7,Punt
4,1,1:17,MIN 41,15,6:19,58,Field Goal
5,2,5:42,MIN 24,3,2:01,-6,Punt
6,2,1:37,MIN 22,2,1:37,8,End of Half
7,3,13:45,MIN 21,4,3:10,17,Punt
8,3,9:45,MIN 36,5,2:24,18,Punt
9,3,3:51,MIN 35,9,4:42,65,Touchdown
10,4,11:56,MIN 13,6,3:41,25,Punt
11,4,3:46,HOU 46,7,3:46,24,End of Game
