Unnamed: 0,WAS,ATL
First Downs,22,19
Rush-Yds-TDs,21-103-0,21-54-2
Cmp-Att-Yd-TD-INT,29-45-381-3-2,29-38-210-1-1
Sacked-Yards,1-8,3-21
Net Pass Yards,373,189
Total Yards,476,243
Fumbles-Lost,5-5,2-1
Turnovers,7,2
Penalties-Yards,9-66,7-73
Third Down Conv.,5-10,5-14
Fourth Down Conv.,0-0,0-1
Time of Possession,26:08,33:52
