Quarter,Time,Tm,Detail,GNB,MIA
1.0,11:10,Dolphins,Jason Sanders 46 yard field goal,0,3
,9:26,Packers,Mason Crosby 36 yard field goal,3,3
,9:08,Dolphins,Jaylen Waddle 84 yard pass from Tua Tagovailoa (Jason Sanders kick),3,10
,4:10,Packers,Marcedes Lewis 1 yard pass from Aaron Rodgers (Mason Crosby kick),10,10
2.0,10:52,Dolphins,Jeff Wilson 1 yard rush (Jason Sanders kick),10,17
,4:18,Dolphins,Jason Sanders 34 yard field goal,10,20
,0:02,Packers,Mason Crosby 46 yard field goal,13,20
3.0,7:53,Packers,AJ Dillon 1 yard rush (Mason Crosby kick),20,20
4.0,11:45,Packers,Mason Crosby 28 yard field goal,23,20
,2:02,Packers,Mason Crosby 26 yard field goal,26,20
