Unnamed: 0,ARI,CAR
First Downs,8,25
Rush-Yds-TDs,15-27-1,41-188-1
Cmp-Att-Yd-TD-INT,16-28-82-1-2,18-32-198-2-1
Sacked-Yards,4-31,1-0
Net Pass Yards,51,198
Total Yards,78,386
Fumbles-Lost,3-1,3-2
Turnovers,3,3
Penalties-Yards,7-38,8-80
Third Down Conv.,3-12,5-15
Fourth Down Conv.,0-0,0-2
Time of Possession,22:54,37:06
