Unnamed: 0,TEN,GNB
First Downs,10,28
Rush-Yds-TDs,22-79-0,35-117-4
Cmp-Att-Yd-TD-INT,13-30-140-1-2,28-40-351-3-0
Sacked-Yards,7-39,1-8
Net Pass Yards,101,343
Total Yards,180,460
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-35,1-10
Third Down Conv.,4-15,2-11
Fourth Down Conv.,0-2,2-3
Time of Possession,25:36,34:24
