Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, returned by Darius Reynaud for 21 yards (tackle by Frank Zombo)",0.000,0.340
1,14:55,1,10,TEN 21,0,0,Jake Locker pass incomplete short left intended for Kenny Britt (defended by B.J. Raji),0.340,-0.200
1,14:52,2,10,TEN 21,0,0,Chris Johnson right guard for -1 yards (tackle by A.J. Hawk),-0.200,-1.020
1,14:09,3,11,TEN 20,0,0,Jake Locker sacked by Clay Matthews for 0 yards,-1.020,-2.030
1,13:37,4,11,TEN 20,0,0,"Brett Kern punts 52 yards, returned by Randall Cobb for 14 yards (tackle by Will Witherspoon)",-2.030,-1.730
1,13:24,1,10,GNB 42,0,0,DuJuan Harris left end for 3 yards (tackle by Jurrell Casey),1.730,1.590
1,12:50,2,7,GNB 45,0,0,Aaron Rodgers pass complete short middle to Randall Cobb for 11 yards (tackle by Coty Sensabaugh),1.590,2.650
1,12:18,1,10,TEN 44,0,0,DuJuan Harris up the middle for 2 yards (tackle by SenDerrick Marks and Jordan Babineaux),2.650,2.380
1,11:43,2,8,TEN 42,0,0,DuJuan Harris right tackle for 1 yard (tackle by Derrick Morgan),2.380,1.820
1,11:00,3,7,TEN 41,0,0,Aaron Rodgers pass incomplete short middle intended for Randall Cobb,1.820,0.530
1,10:55,4,7,TEN 41,0,0,"Tim Masthay punts 21 yards, fair catch by Darius Reynaud",0.530,-0.280
1,10:47,1,10,TEN 20,0,0,Jake Locker pass incomplete deep left intended for Taylor Thompson,0.280,-0.270
1,10:47,2,10,TEN 20,0,0,"Penalty on Jake Locker: Delay of Game, 5 yards (no play)",-0.270,-1.070
1,10:39,2,15,TEN 15,0,0,Jake Locker pass incomplete short right intended for Nate Washington. Penalty on Mitch Petrus: Face Mask (15 Yards) (Declined),-1.070,-1.860
1,10:35,3,15,TEN 15,0,0,Jake Locker pass complete short middle to Michael Preston for 7 yards (tackle by Brad Jones),-1.860,-1.900
1,9:53,4,8,TEN 22,0,0,"Brett Kern punts 51 yards, returned by Randall Cobb for 17 yards (tackle by Tim Shaw)",-1.900,-1.860
1,9:42,1,10,GNB 44,0,0,Aaron Rodgers pass complete short left to D.J. Williams for 8 yards (tackle by Will Witherspoon),1.860,2.400
1,9:15,2,2,TEN 48,0,0,Ryan Grant left guard for 6 yards (tackle by Jurrell Casey and Will Witherspoon),2.400,2.790
1,8:44,1,10,TEN 42,0,0,Aaron Rodgers pass complete short right to Greg Jennings for 9 yards (tackle by Jason McCourty),2.790,3.460
1,8:07,2,1,TEN 33,0,0,Ryan Grant left end for 18 yards (tackle by Zach Brown),3.460,4.580
1,7:43,1,10,TEN 15,0,0,Ryan Grant left guard for 9 yards (tackle by Michael Griffin),4.580,5.600
1,6:59,2,1,TEN 6,0,6,"Aaron Rodgers up the middle for 6 yards, touchdown",5.600,7.000
1,6:59,,,TEN 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,6:54,,,GNB 35,0,7,"Mason Crosby kicks off 64 yards, returned by Darius Reynaud for 15 yards (tackle by Jarrett Bush)",0.000,-0.140
1,6:49,1,10,TEN 16,0,7,Chris Johnson left end for no gain (tackle by Ryan Pickett),-0.140,-0.660
1,6:13,2,10,TEN 16,0,7,"Jake Locker pass incomplete short middle intended for Chris Johnson. Penalty on Deuce Lutui: Offensive Holding (Declined), Penalty on Jake Locker: Intentional Grounding, 11 yards",-0.660,-2.710
1,6:10,3,21,TEN 5,0,7,Chris Johnson left tackle for 7 yards (tackle by Mike Neal),-2.710,-2.490
1,5:29,4,14,TEN 12,0,7,"Brett Kern punts 31 yards, out of bounds",-2.490,-2.720
1,5:22,1,10,TEN 43,0,7,Aaron Rodgers pass complete short right to James Jones for 15 yards (tackle by Jason McCourty),2.720,3.710
1,4:53,1,10,TEN 28,0,7,Aaron Rodgers pass complete short left to Greg Jennings for 8 yards (tackle by Alterraun Verner),3.710,4.250
1,4:34,2,2,TEN 20,0,13,"Aaron Rodgers pass complete deep right to Randall Cobb for 20 yards, touchdown",4.250,7.000
1,4:34,,,TEN 2,0,14,Mason Crosby kicks extra point good,0.000,0.000
1,4:28,,,GNB 35,0,14,"Mason Crosby kicks off 64 yards, returned by Darius Reynaud for 27 yards (tackle by Casey Hayward)",0.000,0.810
1,4:22,1,10,TEN 28,0,14,Chris Johnson left guard for 3 yards (tackle by Casey Hayward),0.810,0.670
1,3:49,2,7,TEN 31,0,14,Jake Locker for 22 yards (tackle by Tramon Williams),0.670,2.460
1,3:23,1,10,GNB 47,0,14,Jake Locker pass incomplete deep left intended for Kenny Britt is intercepted by Sam Shields at GNB-21,2.460,-0.340
1,3:15,1,10,GNB 21,0,14,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,0.340,-0.200
1,3:07,2,10,GNB 21,0,14,Ryan Grant up the middle for 2 yards (tackle by Zach Brown),-0.200,-0.630
1,2:33,3,8,GNB 23,0,14,Aaron Rodgers sacked by Markelle Martin for -8 yards,-0.630,-2.440
1,2:07,4,16,GNB 15,0,14,"Tim Masthay punts 45 yards, fair catch by Darius Reynaud",-2.440,-1.600
1,2:00,1,10,TEN 40,0,14,Chris Johnson left end for -3 yards (tackle by Clay Matthews),1.600,0.650
1,1:24,2,13,TEN 37,0,14,Jake Locker sacked by A.J. Hawk for -7 yards,0.650,-0.960
1,0:47,3,20,TEN 30,0,14,Jake Locker pass incomplete short middle intended for Damian Williams is intercepted by Erik Walden at TEN-34 and returned for 20 yards (tackle by Craig Stevens),-0.960,-4.650
1,0:37,1,10,TEN 14,0,14,Aaron Rodgers pass complete short left to James Jones for 6 yards (tackle by Alterraun Verner),4.650,5.090
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,TEN 8,0,14,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,5.090,0.000
2,14:46,,,,0,14,Timeout #1 by Green Bay Packers,0.000,4.280
2,14:46,3,4,TEN 8,0,14,Aaron Rodgers pass incomplete short middle intended for James Jones,4.280,2.980
2,14:39,4,4,TEN 8,0,17,Mason Crosby 26 yard field goal good,2.980,3.000
2,14:36,,,GNB 35,0,17,"Mason Crosby kicks off 35 yards, returned by Will Witherspoon for 6 yards (tackle by Jerron McMillian)",0.000,1.330
2,14:32,1,10,TEN 36,0,17,Jake Locker for 2 yards (tackle by Brad Jones),1.330,1.060
2,14:10,2,8,TEN 38,0,17,Jamie Harper right end for 1 yard (tackle by A.J. Hawk),1.060,0.500
2,13:39,3,7,TEN 39,0,17,Jake Locker pass complete short left to Damian Williams for 8 yards (tackle by Clay Matthews),0.500,2.060
2,13:02,1,10,TEN 47,0,17,Jamie Harper right guard for 13 yards (tackle by M.D. Jennings and Morgan Burnett),2.060,2.920
2,12:27,1,10,GNB 40,0,17,Jamie Harper left end for no gain (tackle by A.J. Hawk and Erik Walden),2.920,2.370
2,11:48,2,10,GNB 40,0,17,Jamie Harper left end for 9 yards (tackle by Morgan Burnett),2.370,2.870
2,11:08,3,1,GNB 31,0,17,Quinn Johnson left guard for no gain (tackle by Mike Daniels),2.870,1.410
2,10:23,4,1,GNB 31,0,17,Jake Locker pass incomplete short left intended for Damian Williams,1.410,-1.000
2,10:20,1,10,GNB 31,0,17,DuJuan Harris right tackle for 1 yard (tackle by Markelle Martin and Tim Shaw),1.000,0.600
2,9:50,2,9,GNB 32,0,17,DuJuan Harris right end for 10 yards (tackle by Markelle Martin),0.600,1.730
2,9:19,1,10,GNB 42,0,17,DuJuan Harris right end for no gain (tackle by Zach Brown),1.730,1.190
2,8:52,2,10,GNB 42,0,17,Aaron Rodgers pass complete short right to D.J. Williams for 3 yards (tackle by Derrick Morgan),1.190,0.890
2,8:17,3,7,GNB 45,0,17,Aaron Rodgers pass complete short middle to John Kuhn for 9 yards (tackle by Zach Brown and Will Witherspoon),0.890,2.520
2,7:49,1,10,TEN 46,0,17,Aaron Rodgers pass complete short left to Greg Jennings for 8 yards (tackle by Coty Sensabaugh),2.520,3.060
2,7:20,2,2,TEN 38,0,17,Aaron Rodgers up the middle for 1 yard (tackle by Akeem Ayers),3.060,2.480
2,6:46,3,1,TEN 37,0,17,Aaron Rodgers pass incomplete deep left intended for Greg Jennings,2.480,0.790
2,6:41,4,1,TEN 37,0,17,Ryan Grant left tackle for 2 yards (tackle by Tim Shaw and Zach Brown),0.790,3.250
2,6:00,1,10,TEN 35,0,17,Ryan Grant right guard for 2 yards (tackle by DaJohn Harris),3.250,2.970
2,5:25,2,8,TEN 33,0,17,Ryan Grant left end for 3 yards (tackle by Kamerion Wimbley),2.970,2.680
2,4:50,3,5,TEN 30,0,17,Aaron Rodgers pass incomplete short right intended for Jermichael Finley,2.680,1.450
2,4:45,4,5,TEN 30,0,20,Mason Crosby 48 yard field goal good,1.450,3.000
2,4:40,,,GNB 35,0,20,"Mason Crosby kicks off 58 yards, returned by Darius Reynaud for 9 yards (tackle by Robert Francois)",0.000,-0.140
