Unnamed: 0,HOU,IND
First Downs,30,28
Rush-Yds-TDs,35-119-1,17-41-0
Cmp-Att-Yd-TD-INT,29-42-375-2-1,40-62-464-4-0
Sacked-Yards,7-28,4-27
Net Pass Yards,347,437
Total Yards,466,478
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,10-54,10-85
Third Down Conv.,8-16,10-17
Fourth Down Conv.,1-1,0-1
Time of Possession,40:04,29:56
