Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keke Coutee,HOU,15,11,109,0,6,17,1.5,92,8.4,3.4,0,,2,13.3,0,93.5
DeAndre Hopkins,HOU,12,10,169,1,10,135,13.5,34,3.4,15.2,0,,1,8.3,1,111.8
Will Fuller,HOU,5,4,49,1,3,47,11.8,2,0.5,6.6,0,,0,0.0,0,147.1
Jordan Akins,HOU,3,2,24,0,2,12,6.0,12,6.0,5.0,1,2.0,0,0.0,0,91.0
Sammie Coates,HOU,1,1,12,0,1,7,7.0,5,5.0,7.0,1,1.0,0,0.0,0,116.7
Ryan Griffin,HOU,1,1,12,0,1,1,1.0,11,11.0,1.0,1,1.0,0,0.0,0,116.7
Alfred Blue,HOU,3,0,0,0,0,0,,0,,4.7,0,,1,33.3,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Nyheim Hines,IND,11,9,63,2,4,21,2.3,42,4.7,3.7,1,9.0,2,18.2,0,130.1
Chester Rogers,IND,11,8,85,0,5,34,4.3,51,6.4,6.0,0,,0,0.0,0,94.9
Zach Pascal,IND,10,6,56,1,5,44,7.3,12,2.0,11.9,1,6.0,0,0.0,0,108.7
Eric Ebron,IND,10,5,40,1,1,35,7.0,5,1.0,7.9,0,,0,0.0,0,93.7
Ryan Grant,IND,7,5,64,0,3,54,10.8,10,2.0,8.6,1,5.0,1,14.3,0,99.7
T.Y. Hilton,IND,6,4,115,0,4,86,21.5,29,7.3,19.0,2,2.0,1,16.7,0,109.7
Marcus Johnson,IND,3,2,24,0,1,18,9.0,6,3.0,7.3,0,,1,33.3,0,91.0
Mo Alie-Cox,IND,2,1,17,0,,4,4.0,13,13.0,5.5,1,1.0,0,0.0,0,79.2
Jordan Wilkins,IND,1,0,0,0,0,0,,0,,-5.0,0,,0,0.0,0,39.6
