Unnamed: 0,STL,SFO
First Downs,10,18
Rush-Yds-TDs,23-31-0,34-144-0
Cmp-Att-Yd-TD-INT,12-22-156-0-1,17-25-274-2-0
Sacked-Yards,4-30,4-29
Net Pass Yards,126,245
Total Yards,157,389
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,5-35,8-72
Third Down Conv.,3-13,4-14
Fourth Down Conv.,0-1,0-0
Time of Possession,23:55,36:05
