Unnamed: 0,CIN,DEN
First Downs,22,22
Rush-Yds-TDs,33-108-1,21-113-1
Cmp-Att-Yd-TD-INT,22-35-200-1-0,27-39-299-1-0
Sacked-Yards,2-14,3-22
Net Pass Yards,186,277
Total Yards,294,390
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-45,5-40
Third Down Conv.,10-17,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,37:28,27:50
