Quarter,Time,Tm,Detail,CIN,DEN
1,7:26,Bengals,A.J. Green 5 yard pass from A.J. McCarron (Mike Nugent kick),7,0
2,10:51,Bengals,Mohamed Sanu 6 yard rush (Mike Nugent kick),14,0
,0:14,Broncos,Brandon McManus 23 yard field goal,14,3
3,10:14,Broncos,Emmanuel Sanders 8 yard pass from Brock Osweiler (Brandon McManus kick),14,10
4,11:17,Broncos,C.J. Anderson 39 yard rush (Brandon McManus kick),14,17
,6:46,Bengals,Mike Nugent 52 yard field goal,17,17
OT,10:00,Broncos,Brandon McManus 37 yard field goal,17,20
