Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 19,0,0,Steven Jackson middle for 8 yards (tackle by Sam Williams),4.310,5.140
2,14:26,2,2,OAK 11,0,0,Steven Jackson left end for 3 yards (tackle by Stuart Schweigert),5.140,5.370
2,13:50,1,8,OAK 8,0,0,Steven Jackson middle for 2 yards (tackle by Derrick Burgess),5.370,4.950
2,13:19,2,6,OAK 6,0,0,Marc Bulger pass incomplete short middle intended for Torry Holt (defended by Nnamdi Asomugha),4.950,4.040
2,13:14,,,,0,0,Timeout #1 by Oakland Raiders,0.000,4.040
2,13:14,3,6,OAK 6,0,0,Marc Bulger pass incomplete short left intended for Shaun McDonald,4.040,2.990
2,13:11,4,6,OAK 6,3,0,Jeff Wilkins 24 yard field goal good,2.990,3.000
2,,,,STL 30,3,0,"Jeff Wilkins kicks off 57 yards, returned by Chris Carr for 19 yards (tackle by Dwaine Carpenter)",0.000,1.070
2,13:03,1,10,OAK 32,3,0,Aaron Brooks pass complete short middle to Ronald Curry for 8 yards (tackle by Tye Hill),1.070,1.610
2,12:27,2,2,OAK 40,3,0,ReShard Lee left end for 2 yards (tackle by Jason Fisk),1.610,1.730
2,11:42,1,10,OAK 42,3,0,Aaron Brooks middle for 11 yards (tackle by Dexter Coakley),1.730,2.460
2,10:51,1,10,STL 47,3,0,Justin Fargas middle for 7 yards (tackle by O.J. Atogwe),2.460,2.860
2,10:10,2,3,STL 40,3,0,Justin Fargas middle for -1 yards (tackle by Corey Chavous),2.860,2.010
2,9:30,3,4,STL 41,3,0,Aaron Brooks sacked by Raonall Smith for -12 yards,2.010,-0.260
2,9:04,4,16,OAK 47,3,0,"Shane Lechler punts 41 yards, fair catch by Dane Looker",-0.260,0.350
2,8:53,1,10,STL 12,3,0,Steven Jackson right guard for no gain (tackle by Tommy Kelly),-0.350,-0.780
2,8:19,2,10,STL 12,3,0,Marc Bulger pass complete short right to Isaac Bruce for 9 yards (tackle by Fabian Washington),-0.780,-0.370
2,7:36,3,1,STL 21,3,0,Steven Jackson middle for 6 yards (tackle by Tyler Brayton and Robert Thomas),-0.370,0.740
2,6:59,1,10,STL 27,3,0,Steven Jackson right guard for 1 yard (tackle by Terdell Sands and Tommy Kelly),0.740,0.330
2,6:20,2,9,STL 28,3,0,Steven Jackson middle for no gain (tackle by Tyler Brayton),0.330,-0.360
2,5:44,3,9,STL 28,3,0,"Marc Bulger sacked by Kevin Huntley for -12 yards. Penalty on Kevin Huntley: Face Mask (15 Yards), 15 yards",-0.360,1.000
2,5:20,1,10,STL 31,3,0,Steven Jackson middle for 1 yard (tackle by Terdell Sands),1.000,0.600
2,4:42,2,9,STL 32,3,0,Steven Jackson left end for 10 yards (tackle by Thomas Howard and Chris Carr),0.600,1.730
2,4:02,1,10,STL 42,3,0,Marc Bulger pass complete deep right to Isaac Bruce for 41 yards (tackle by Fabian Washington),1.730,4.440
2,3:16,1,10,OAK 17,3,0,Steven Jackson middle for no gain (tackle by Anttaj Hawthorne),4.440,3.850
2,2:31,2,10,OAK 17,3,0,Marc Bulger pass incomplete deep left intended for Torry Holt (defended by Nnamdi Asomugha),3.850,3.070
2,2:26,3,10,OAK 17,3,0,Marc Bulger pass complete short right to Stephen Davis for 1 yard (tackle by Stanford Routt),3.070,2.380
2,2:00,4,9,OAK 16,6,0,Jeff Wilkins 34 yard field goal good,2.380,3.000
2,,,,STL 30,6,0,"Jeff Wilkins kicks off 57 yards, returned by Chris Carr for 34 yards (tackle by Jeff Wilkins)",0.000,2.060
2,1:47,1,10,OAK 47,6,0,Aaron Brooks pass complete short right to ReShard Lee for 1 yard (tackle by Leonard Little),2.060,1.650
2,1:20,2,9,OAK 48,6,0,Aaron Brooks pass incomplete short left intended for Ronald Curry (defended by Dexter Coakley),1.650,0.960
2,1:16,3,9,OAK 48,6,0,Aaron Brooks pass incomplete short middle intended for Ronald Curry (defended by O.J. Atogwe),0.960,-0.190
2,1:12,4,9,OAK 48,6,0,"Shane Lechler punts 52 yards, touchback. Penalty on Ronald Bartell: Illegal Use of Hands, 10 yards",-0.190,0.380
2,1:04,1,10,STL 10,6,0,Steven Jackson middle for 4 yards (tackle by Warren Sapp and Tommy Kelly),-0.380,-0.460
2,0:27,2,6,STL 14,6,0,"Marc Bulger for no gain. Marc Bulger fumbles, recovered by Steven Jackson at STL-12",-0.460,-1.190
2,0:22,,,,6,0,Timeout #2 by Oakland Raiders,0.000,-1.190
2,0:22,3,8,STL 12,6,0,Steven Jackson middle for 7 yards (tackle by Kirk Morrison and Thomas Howard),-1.190,-2.140
2,0:17,,,,6,0,Timeout #3 by Oakland Raiders,0.000,-2.140
2,0:17,4,1,STL 19,6,0,Matt Turk punts 74 yards,-2.140,0.380
2,0:02,1,10,OAK 7,6,0,Aaron Brooks kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,6,0,"Sebastian Janikowski kicks off 61 yards, returned by Willie Ponder for 21 yards (tackle by Michael Huff)",0.000,0.940
3,14:55,1,10,STL 30,6,0,Steven Jackson middle for 6 yards (tackle by Tyler Brayton),0.940,1.200
3,14:23,2,4,STL 36,6,0,Marc Bulger pass complete short right to Aaron Walker for 9 yards (tackle by Stuart Schweigert),1.200,1.930
3,13:46,1,10,STL 45,6,0,Steven Jackson middle for no gain (tackle by Sam Williams and Kirk Morrison),1.930,1.380
3,13:05,2,10,STL 45,6,0,"Marc Bulger pass incomplete deep right intended for Isaac Bruce. Penalty on Kevin Huntley: Defensive Offside, 5 yards (no play)",1.380,2.060
3,12:59,2,5,,6,0,Marc Bulger pass complete short right to Joe Klopfenstein for 4 yards (tackle by Sam Williams),2.060,1.880
3,12:14,3,1,OAK 46,6,0,Marc Bulger pass incomplete short left intended for Kevin Curtis (defended by Michael Huff),1.880,0.200
3,12:11,4,1,OAK 46,6,0,"Matt Turk punts 26 yards, muffed catch by Chris Carr, recovered by Chris Massey and returned for no gain",0.200,3.970
3,12:00,1,10,OAK 24,6,0,Steven Jackson middle for 5 yards (tackle by Kevin Huntley),3.970,4.120
3,11:24,2,5,OAK 19,6,0,Marc Bulger pass complete short right to Torry Holt for 13 yards (tackle by Fabian Washington),4.120,5.830
3,10:56,1,6,OAK 6,6,0,Steven Jackson middle for 2 yards (tackle by Anttaj Hawthorne),5.830,5.340
3,10:18,2,4,OAK 4,12,0,"Steven Jackson middle for 4 yards, touchdown",5.340,7.000
3,,,,OAK 2,13,0,Jeff Wilkins kicks extra point good,0.000,0.000
3,,,,STL 30,13,0,"Jeff Wilkins kicks off 62 yards, returned by Chris Carr for 15 yards (tackle by Dane Looker)",0.000,0.480
3,10:08,1,10,OAK 23,13,0,Justin Fargas right tackle for 3 yards (tackle by Corey Chavous),0.480,0.340
3,9:31,2,7,OAK 26,13,0,Aaron Brooks pass incomplete short right intended for Randal Williams,0.340,-0.360
3,9:27,3,7,OAK 26,13,0,Aaron Brooks pass complete to Johnnie Morant for 5 yards (tackle by Ronald Bartell),-0.360,-1.310
3,8:52,4,2,OAK 31,13,0,"Shane Lechler punts 43 yards, returned by Shaun McDonald for 17 yards (tackle by Stuart Schweigert)",-1.310,-1.800
3,8:42,1,10,STL 43,13,0,"Penalty on Isaac Bruce: False Start, 5 yards (no play)",1.800,1.470
3,8:42,1,15,STL 38,13,0,Marc Bulger pass incomplete deep middle intended for Torry Holt,1.470,0.580
3,8:36,2,15,STL 38,13,0,Marc Bulger pass incomplete short left intended for Joe Klopfenstein. Penalty on Torry Holt: Offensive Offside (Declined),0.580,-0.100
3,8:32,3,15,STL 38,13,0,Marc Bulger pass incomplete deep left intended for Isaac Bruce,-0.100,-0.850
3,8:26,4,15,STL 38,13,0,"Matt Turk punts 55 yards, fair catch by Chris Carr. Penalty on Raonall Smith: Illegal Formation, 5 yards (no play)",-0.850,-1.180
3,8:17,4,20,STL 33,13,0,"Matt Turk for 3 yards. Matt Turk fumbles, recovered by Matt Turk at STL-25. Penalty on Raonall Smith: Illegal Formation (Declined)",-1.180,-3.180
3,8:08,1,10,STL 36,13,0,Aaron Brooks pass complete to Ronald Curry for 4 yards (tackle by Corey Chavous),3.180,3.180
3,7:40,2,6,STL 32,13,0,Aaron Brooks pass incomplete deep right intended for Alvis Whitted,3.180,2.480
3,7:35,3,6,STL 32,13,0,Aaron Brooks pass complete short middle to Ronald Curry for 9 yards (tackle by Raonall Smith),2.480,4.040
3,6:54,1,10,STL 23,13,0,Aaron Brooks pass complete short right to Ronald Curry for 8 yards (tackle by Tye Hill),4.040,4.750
3,6:14,2,2,STL 15,13,0,Justin Fargas middle for 1 yard (tackle by La'Roi Glover),4.750,4.280
3,5:41,3,1,STL 14,13,0,Zack Crockett middle for 1 yard (tackle by Jason Fisk),4.280,4.710
3,5:04,1,10,STL 13,13,0,"Zack Crockett middle for no gain (tackle by Leonard Little). Zack Crockett fumbles (forced by Leonard Little), recovered by Tye Hill at STL-18 and returned for 2 yards (tackle by Justin Fargas)",4.710,-0.280
3,4:55,1,10,STL 20,13,0,Marc Bulger sacked by Derrick Burgess for -6 yards,0.280,-1.180
3,4:25,2,16,STL 14,13,0,Steven Jackson left tackle for 2 yards (tackle by Kirk Morrison),-1.180,-1.690
3,3:47,3,14,STL 16,13,0,Marc Bulger pass incomplete deep left intended for Torry Holt,-1.690,-2.390
3,3:41,4,14,STL 16,13,0,Matt Turk punts 45 yards,-2.390,-1.530
3,3:28,1,10,OAK 39,13,0,Aaron Brooks pass complete short right to Ronald Curry for 11 yards (tackle by Corey Chavous),1.530,2.260
3,2:59,1,10,,13,0,"Aaron Brooks pass complete deep right to Courtney Anderson for 26 yards (tackle by Corey Chavous). Penalty on Courtney Anderson: Taunting, 15 yards",2.260,2.980
3,2:11,,,,13,0,Timeout #1 by Oakland Raiders,0.000,2.980
3,2:11,1,10,STL 39,13,0,Aaron Brooks pass incomplete short left intended for Alvis Whitted (defended by Fakhir Brown),2.980,2.440
3,2:06,2,10,STL 39,13,0,Aaron Brooks pass complete short left to Ronald Curry for 8 yards (tackle by Dexter Coakley),2.440,2.810
3,1:34,,,,13,0,Timeout #1 by St. Louis Rams,0.000,2.810
3,1:34,3,2,STL 31,13,0,Aaron Brooks sacked by Leonard Little for -3 yards,2.810,1.070
3,0:58,4,5,STL 34,13,0,Aaron Brooks pass incomplete short left intended for Ronald Curry,1.070,-1.270
3,0:53,1,10,STL 35,13,0,Marc Bulger pass complete short middle to Madison Hedgecock for 6 yards (tackle by Kirk Morrison and Thomas Howard),1.270,1.530
3,0:14,2,4,STL 41,13,0,Steven Jackson left end for 1 yard (tackle by Tyler Brayton),1.530,0.960
Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,STL 42,13,0,Marc Bulger sacked by Warren Sapp for -9 yards,0.960,-1.180
4,14:37,4,12,STL 33,13,0,Matt Turk punts 51 yards,-1.180,0.140
4,14:23,1,10,OAK 16,13,0,"Andrew Walter for no gain. Penalty on Alvis Whitted: False Start, 5 yards (no play)",-0.140,-0.540
4,14:23,1,15,OAK 11,13,0,Justin Fargas right tackle for 4 yards (tackle by Dexter Coakley and Claude Wroten),-0.540,-0.780
4,13:42,2,11,OAK 15,13,0,Andrew Walter pass complete short middle to Randal Williams for 8 yards (tackle by Dexter Coakley),-0.780,-0.450
4,13:00,3,3,OAK 23,13,0,Andrew Walter pass complete short right to ReShard Lee for 5 yards (tackle by Tye Hill),-0.450,0.810
4,12:24,1,10,OAK 28,13,0,Andrew Walter sacked by Leonard Little for -6 yards,0.810,-0.550
4,11:47,2,16,OAK 22,13,0,Andrew Walter pass complete to John Madsen for 7 yards (tackle by Ronald Bartell),-0.550,-0.300
4,11:37,3,9,OAK 29,13,0,"Penalty on ReShard Lee: False Start, 5 yards (no play)",-0.300,-0.960
4,10:44,3,14,OAK 24,13,0,"Penalty on Langston Walker: False Start, 5 yards (no play)",-0.960,-1.720
4,10:42,3,19,OAK 19,13,0,Andrew Walter pass incomplete deep right intended for Alvis Whitted is intercepted by Ronald Bartell at OAK-35 and returned for 16 yards,-1.720,-4.310
4,10:17,1,10,OAK 19,19,0,"Steven Jackson middle for 19 yards, touchdown",4.310,7.000
4,,,,OAK 2,20,0,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,20,0,"Jeff Wilkins kicks off 68 yards, returned by Chris Carr for 33 yards (tackle by Raonall Smith)",0.000,1.270
4,9:59,1,10,OAK 35,20,0,Andrew Walter pass complete short left to Ronald Curry for 12 yards (tackle by Corey Chavous),1.270,2.060
4,9:27,1,10,OAK 47,20,0,Andrew Walter pass complete short right to Ronald Curry for 19 yards (tackle by Jason Fisk),2.060,3.310
4,8:44,1,10,STL 34,20,0,Andrew Walter pass incomplete short middle intended for Johnnie Morant,3.310,2.770
4,8:42,2,10,STL 34,20,0,"Andrew Walter pass incomplete intended for Courtney Anderson. Penalty on Brandon Chillar: Defensive Pass Interfere, 5 yards (no play)",2.770,3.640
4,8:36,1,10,STL 29,20,0,Andrew Walter pass complete short middle to ReShard Lee for 3 yards (tackle by Dexter Coakley),3.640,3.510
4,8:13,2,7,STL 26,20,0,Andrew Walter pass incomplete short left intended for Johnnie Morant is intercepted by Dexter Coakley at STL-20,3.510,-0.280
4,8:05,1,10,STL 20,20,0,Steven Jackson middle for 5 yards (tackle by Kirk Morrison),0.280,0.410
4,7:18,2,5,STL 25,20,0,Steven Jackson middle for 2 yards (tackle by Tommy Kelly),0.410,-0.030
4,6:34,3,3,STL 27,20,0,Marc Bulger pass incomplete short right intended for Torry Holt (defended by Nnamdi Asomugha),-0.030,-1.570
4,6:29,4,3,STL 27,20,0,Matt Turk for 16 yards,-1.570,1.800
4,6:00,1,10,STL 43,20,0,Steven Jackson left guard for 2 yards (tackle by Derrick Burgess),1.800,1.520
4,5:20,2,8,STL 45,20,0,Marc Bulger pass complete deep left to Torry Holt for 21 yards (tackle by Nnamdi Asomugha),1.520,3.310
4,4:32,1,10,OAK 34,20,0,Steven Jackson right guard for -1 yards (tackle by Derrick Burgess),3.310,2.640
4,4:03,2,11,OAK 35,20,0,Steven Jackson middle for no gain,2.640,1.950
4,3:39,,,,20,0,Timeout #2 by Oakland Raiders,0.000,1.950
4,3:39,3,11,OAK 35,20,0,Stephen Davis middle for 2 yards (tackle by Michael Huff),1.950,1.150
4,2:50,,,,20,0,Timeout #2 by St. Louis Rams,0.000,1.150
4,2:50,4,9,OAK 33,20,0,Jeff Wilkins punts 28 yards,1.150,0.380
4,2:42,1,10,OAK 5,20,0,Andrew Walter pass complete to Courtney Anderson for 9 yards (tackle by Will Witherspoon and Corey Chavous),-0.380,-0.100
4,2:22,2,1,OAK 14,20,0,Andrew Walter pass incomplete short left intended for Ronald Curry,-0.100,-0.370
4,2:22,3,1,OAK 14,20,0,"ReShard Lee middle for 2 yards (tackle by Claude Wroten). Penalty on Claude Wroten: Defensive Offside, 6 yards (no play)",-0.370,0.280
4,2:18,1,10,OAK 20,20,0,Andrew Walter pass complete short right to Courtney Anderson for 7 yards (tackle by Will Witherspoon),0.280,0.680
4,2:00,2,3,OAK 27,20,0,Andrew Walter pass complete short right to Doug Gabriel for 19 yards (tackle by Fakhir Brown),0.680,1.990
4,1:50,1,10,OAK 46,20,0,"Penalty on Courtney Anderson: False Start, 5 yards (no play)",1.990,1.660
4,1:31,1,15,OAK 41,20,0,Andrew Walter pass complete to ReShard Lee for 4 yards (tackle by Will Witherspoon and Raonall Smith),1.660,1.320
4,1:15,2,11,OAK 45,20,0,Andrew Walter pass complete short right to ReShard Lee for 8 yards (tackle by Tye Hill),1.320,1.690
4,1:07,3,3,STL 47,20,0,Andrew Walter pass complete short right to Johnnie Morant for 8 yards (tackle by Corey Chavous),1.690,2.980
4,0:49,1,10,STL 39,20,0,"Andrew Walter pass complete short right to Courtney Anderson for 6 yards (tackle by Will Witherspoon). Penalty on Ronald Bartell: Illegal Use of Hands, 5 yards (no play)",2.980,3.310
4,0:42,1,10,STL 34,20,0,Andrew Walter pass incomplete deep middle intended for Ronald Curry (defended by Ronald Bartell),3.310,2.770
4,0:36,2,10,STL 34,20,0,Andrew Walter pass complete short right to Courtney Anderson for 10 yards (tackle by Dexter Coakley),2.770,3.970
4,0:25,,,,20,0,Timeout #3 by Oakland Raiders,0.000,3.970
4,0:25,1,10,STL 24,20,0,"Andrew Walter pass complete short right to ReShard Lee for 6 yards (tackle by Tye Hill). Penalty on Raonall Smith: Defensive Offside, 5 yards (no play)",3.970,4.750
4,0:20,1,5,STL 19,20,0,Andrew Walter pass complete short left to Doug Gabriel for 12 yards (tackle by Fakhir Brown),4.750,5.600
4,0:01,1,7,STL 7,20,0,Andrew Walter spiked the ball,5.600,4.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
