Quarter,Time,Tm,Detail,STL,OAK
2.0,13:07,Rams,Jeff Wilkins 24 yard field goal,3,0
,1:56,Rams,Jeff Wilkins 34 yard field goal,6,0
3.0,10:14,Rams,Steven Jackson 4 yard rush (Jeff Wilkins kick),13,0
4.0,10:11,Rams,Steven Jackson 19 yard rush (Jeff Wilkins kick),20,0
