Unnamed: 0,STL,OAK
First Downs,16,20
Rush-Yds-TDs,35-148-2,18-57-0
Cmp-Att-Yd-TD-INT,11-22-137-0-0,25-39-229-0-3
Sacked-Yards,4-34,4-26
Net Pass Yards,103,203
Total Yards,251,260
Fumbles-Lost,2-0,2-2
Turnovers,0,5
Penalties-Yards,10-56,9-75
Third Down Conv.,3-14,5-11
Fourth Down Conv.,1-2,0-1
Time of Possession,31:14,28:46
