Unnamed: 0,PIT,KAN
First Downs,27,13
Rush-Yds-TDs,31-114-0,20-68-0
Cmp-Att-Yd-TD-INT,33-44-415-3-2,15-30-248-2-0
Sacked-Yards,2-13,5-34
Net Pass Yards,402,214
Total Yards,516,282
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,8-81,4-28
Third Down Conv.,4-13,6-15
Fourth Down Conv.,1-1,0-1
Time of Possession,44:07,22:25
