Quarter,Time,Tm,Detail,SEA,WAS
1.0,2:59,Football Team,Joey Slye 23 yard field goal,0,3
,0:20,Seahawks,Gerald Everett 6 yard pass from Russell Wilson (Jason Myers kick),7,3
2.0,0:56,Football Team,J.D. McKissic 10 yard pass from Taylor Heinicke (Joey Slye kick failed),7,9
,0:56,Seahawks,Rasheem Green defensive extra point return,9,9
3.0,8:30,Football Team,J.D. McKissic 10 yard rush (Antonio Gibson run),9,17
4.0,0:15,Seahawks,Freddie Swain 32 yard pass from Russell Wilson (pass failed),15,17
