Unnamed: 0,SEA,WAS
First Downs,10,27
Rush-Yds-TDs,12-34-0,43-152-1
Cmp-Att-Yd-TD-INT,20-31-247-2-0,27-35-223-1-1
Sacked-Yards,2-14,1-4
Net Pass Yards,233,219
Total Yards,267,371
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,6-51,4-38
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,18:35,41:25
