Quarter,Time,Tm,Detail,BAL,CLE
1.0,7:30,Browns,Chase McLaughlin 43 yard field goal,0,3
,0:38,Browns,Jarvis Landry 9 yard pass from Baker Mayfield (Chase McLaughlin kick),0,10
2.0,8:15,Browns,Austin Hooper 1 yard pass from Baker Mayfield (Chase McLaughlin kick),0,17
,3:30,Ravens,Justin Tucker 50 yard field goal,3,17
,0:49,Browns,Myles Garrett 15 yard fumble return (Chase McLaughlin kick),3,24
,0:02,Ravens,Justin Tucker 42 yard field goal,6,24
3.0,2:05,Ravens,Justin Tucker 55 yard field goal,9,24
4.0,8:56,Ravens,Latavius Murray 1 yard rush (pass failed),15,24
,1:17,Ravens,Mark Andrews 8 yard pass from Tyler Huntley (Justin Tucker kick),22,24
