Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 63 yards, returned by Jojo Natson for 21 yards (tackle by Tylan Wallace)",,
1,14:56,1,10,CLE 23,0,0,Baker Mayfield pass incomplete short left intended for Austin Hooper,,
1,14:52,2,10,CLE 23,0,0,Baker Mayfield pass complete short left to Nick Chubb for -1 yards (tackle by Justin Houston),,
1,14:11,3,11,CLE 22,0,0,Baker Mayfield pass complete short left to Kareem Hunt for 8 yards (tackle by Brandon Stephens),,
1,13:37,4,3,CLE 30,0,0,Dustin Colquitt punts 38 yards out of bounds,,
1,13:31,1,10,BAL 32,0,0,Lamar Jackson pass complete short middle to Marquise Brown for 11 yards (tackle by Jeremiah Owusu-Koramoah),,
1,13:07,1,10,BAL 43,0,0,Devonta Freeman right tackle for 5 yards (tackle by Grant Delpit),,
1,12:15,2,5,BAL 48,0,0,Lamar Jackson sacked by and John Johnson for no gain and Jadeveon Clowney for no gain,,
1,12:02,3,5,BAL 48,0,0,Lamar Jackson right guard for 1 yard (tackle by Takkarist McKinley),,
1,11:28,4,4,BAL 49,0,0,"Sam Koch punts 36 yards, recovered by Demetric Felton at CLE-15",,
1,11:20,1,10,CLE 15,0,0,"Nick Chubb left tackle for no gain (tackle by Chris Westry). Penalty on Blake Hance: Offensive Holding, 7 yards (accepted) (no play)",,
1,10:52,1,17,CLE 8,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 3 yards (tackle by Chuck Clark),,
1,10:16,2,14,CLE 11,0,0,"Baker Mayfield pass incomplete deep right intended for Donovan Peoples-Jones. Penalty on Anthony Averett: Defensive Pass Interference, 18 yards (accepted) (no play)",,
1,10:11,1,10,CLE 29,0,0,Nick Chubb left tackle for 2 yards (tackle by Odafe Oweh),,
1,9:32,2,8,CLE 31,0,0,Baker Mayfield pass complete short middle to Austin Hooper for 9 yards (tackle by Brandon Stephens),,
1,8:52,1,10,CLE 40,0,0,"Baker Mayfield pass incomplete deep left intended for Jarvis Landry. Penalty on Chris Westry: Defensive Pass Interference, 30 yards (accepted) (no play)",,
1,8:44,1,10,BAL 30,0,0,Nick Chubb right guard for 1 yard (tackle by Josh Bynes and Calais Campbell),,
1,8:07,2,9,BAL 29,0,0,Baker Mayfield pass complete short left to Nick Chubb for 4 yards (tackle by Brandon Stephens),,
1,7:38,3,5,BAL 25,0,0,Baker Mayfield pass incomplete short right,,
1,7:34,4,5,BAL 25,0,3,Chase McLaughlin 43 yard field goal good,,
1,7:30,,,CLE 35,0,3,"Chase McLaughlin kicks off 67 yards, returned by Devin Duvernay for 19 yards (tackle by M.J. Stewart)",,
1,7:26,1,10,BAL 17,0,3,Lamar Jackson pass complete short right to Devonta Freeman for 2 yards (tackle by Denzel Ward),,
1,6:53,2,8,BAL 19,0,3,Lamar Jackson pass complete short left to Mark Andrews for -1 yards (tackle by Troy Hill),,
1,6:06,3,9,BAL 18,0,3,"Lamar Jackson up the middle for 4 yards (tackle by Myles Garrett) Penalty on BAL: Illegal Shift, 5 yards (declined)",,
1,5:45,4,5,BAL 22,0,3,"Sam Koch punts 44 yards, recovered by Demetric Felton at CLE-34",,
1,5:36,1,10,CLE 34,0,3,Baker Mayfield scrambles right end for 3 yards (tackle by Tyus Bowser),,
1,4:55,2,7,CLE 37,0,3,Kareem Hunt left guard for 3 yards (tackle by Jaylon Ferguson and Justin Ellis),,
1,4:13,3,4,CLE 40,0,3,Baker Mayfield pass complete deep right to Donovan Peoples-Jones for 34 yards (tackle by Anthony Averett),,
1,3:29,1,10,BAL 26,0,3,Baker Mayfield pass complete short right to Austin Hooper for 5 yards (tackle by Patrick Queen),,
1,2:54,2,5,BAL 21,0,3,Kareem Hunt left guard for 2 yards (tackle by Justin Madubuike and Kristian Welch),,
1,2:11,3,3,BAL 19,0,3,Baker Mayfield pass complete short right to Kareem Hunt for 5 yards (tackle by Geno Stone),,
1,1:29,1,10,BAL 14,0,3,Nick Chubb left tackle for 5 yards (tackle by Broderick Washington and Kristian Welch),,
1,0:44,2,5,BAL 9,0,9,"Baker Mayfield pass complete short right to Jarvis Landry for 9 yards, touchdown",,
1,0:38,,,BAL 15,0,10,Chase McLaughlin kicks extra point good,,
1,0:38,,,CLE 35,0,10,"Chase McLaughlin kicks off 65 yards, touchback.",,
1,0:38,1,10,BAL 25,0,10,Devonta Freeman left guard for 5 yards (tackle by Grant Delpit),,
1,0:14,2,5,BAL 30,0,10,"Lamar Jackson scrambles right guard for no gain (tackle by Troy Hill). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,BAL 20,0,10,"Lamar Jackson pass complete short right to Mark Andrews for 5 yards (tackle by Grant Delpit). Penalty on Tyre Phillips: Ineligible Downfield Pass, 5 yards (declined)",,
2,14:45,3,10,BAL 25,0,10,Tyler Huntley pass incomplete short right intended for Sammy Watkins,,
2,14:31,4,10,BAL 25,0,10,"Sam Koch punts 60 yards, returned by Jojo Natson for 8 yards (tackle by Tylan Wallace)",,
2,14:20,1,10,CLE 23,0,10,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Anthony Averett),,
2,13:37,2,3,CLE 30,0,10,Nick Chubb left guard for 1 yard (tackle by Justin Houston),,
2,13:00,3,2,CLE 31,0,10,Baker Mayfield scrambles right end for 6 yards (tackle by Anthony Averett),,
2,12:19,1,10,CLE 37,0,10,Baker Mayfield pass complete short right to Austin Hooper for 6 yards (tackle by Patrick Queen and Anthony Averett),,
2,11:39,2,4,CLE 43,0,10,Nick Chubb left tackle for 15 yards (tackle by Brandon Stephens),,
2,10:55,1,10,BAL 42,0,10,"Baker Mayfield pass complete deep left to Donovan Peoples-Jones for 27 yards (tackle by Chris Westry). Penalty on Chris Westry: Illegal Contact, 5 yards (declined)",,
2,10:32,1,10,BAL 15,0,10,Baker Mayfield pass complete short left to Austin Hooper for 9 yards (tackle by Chris Westry),,
2,9:52,2,1,BAL 6,0,10,Nick Chubb left tackle for 1 yard (tackle by Justin Madubuike),,
2,9:09,1,5,BAL 5,0,10,Nick Chubb right tackle for 2 yards (tackle by Tyus Bowser),,
2,8:20,2,3,BAL 3,0,10,"Baker Mayfield pass incomplete short left intended for Austin Hooper. Penalty on Tavon Young: Defensive Pass Interference, 2 yards (accepted) (no play)",,
2,8:19,1,1,BAL 1,0,16,"Baker Mayfield pass complete short right to Austin Hooper for 1 yard, touchdown",,
2,8:15,,,BAL 15,0,17,Chase McLaughlin kicks extra point good,,
2,8:15,,,CLE 35,0,17,"Chase McLaughlin kicks off 55 yards, returned by Devin Duvernay for 12 yards (tackle by Herb Miller)",,
2,8:08,1,10,BAL 22,0,17,Devonta Freeman left guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),,
2,7:35,2,6,BAL 26,0,17,Devin Duvernay right end for 3 yards (tackle by Greedy Williams),,
2,6:55,3,3,BAL 29,0,17,Tyler Huntley left guard for -4 yards (tackle by Troy Hill),,
2,6:22,4,7,BAL 25,0,17,"Sam Koch punts 44 yards, returned by Jojo Natson for 1 yard (tackle by Anthony Levine and Kristian Welch)",,
2,6:13,1,10,CLE 32,0,17,Baker Mayfield pass complete short left to Donovan Peoples-Jones for 12 yards (tackle by Brandon Stephens),,
2,5:32,1,10,CLE 44,0,17,Baker Mayfield pass deep right intended for Jarvis Landry is intercepted by Anthony Averett at BAL-40 and returned for 21 yards (tackle by Austin Hooper),,
2,5:24,1,10,CLE 39,0,17,Tyler Huntley pass complete short right to Devin Duvernay for 3 yards (tackle by Greedy Williams),,
2,4:52,2,8,CLE 36,0,17,Tyler Huntley pass complete short right to Marquise Brown for 5 yards (tackle by Denzel Ward),,
2,4:18,3,3,CLE 31,0,17,Devonta Freeman right guard for -1 yards (tackle by Troy Hill),,
2,3:34,4,4,CLE 32,3,17,Justin Tucker 50 yard field goal good,,
2,3:30,,,BAL 35,3,17,"Justin Tucker kicks off 63 yards, out of bounds",,
2,3:30,1,10,CLE 40,3,17,D'Ernest Johnson right tackle for 13 yards (tackle by Chuck Clark and Brandon Stephens),,
2,2:48,1,10,BAL 47,3,17,Baker Mayfield pass complete short right to Jarvis Landry for 5 yards (tackle by Anthony Averett and Josh Bynes),,
2,2:11,2,5,BAL 42,3,17,D'Ernest Johnson left guard for -2 yards (tackle by Odafe Oweh and Josh Bynes),,
2,2:00,3,7,BAL 44,3,17,Baker Mayfield pass incomplete short right intended for Donovan Peoples-Jones (defended by Anthony Averett),,
2,1:52,4,7,BAL 44,3,17,Dustin Colquitt punts 35 yards downed by Sione Takitaki,,
2,1:43,1,10,BAL 9,3,17,Devonta Freeman right guard for 7 yards (tackle by Sheldon Day),,
2,1:26,2,3,BAL 16,3,17,Tyler Huntley pass complete short right to Mark Andrews for 4 yards (tackle by Jeremiah Owusu-Koramoah),,
2,0:58,1,10,BAL 20,3,17,Tyler Huntley pass incomplete short right intended for Marquise Brown (defended by Jadeveon Clowney),,
2,0:58,2,10,BAL 20,3,23,"Tyler Huntley sacked by Myles Garrett for -5 yards. Tyler Huntley fumbles (forced by Myles Garrett), recovered by Myles Garrett at BAL-15 and returned for 15 yards, touchdown",,
2,0:49,,,BAL 15,3,24,Chase McLaughlin kicks extra point good,,
2,0:49,,,CLE 35,3,24,"Chase McLaughlin kicks off 65 yards, returned by Devin Duvernay for 23 yards (tackle by M.J. Stewart)",,
2,0:44,1,10,BAL 23,3,24,Tyler Huntley scrambles right end for 2 yards (tackle by Malik McDowell),,
2,0:37,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:37,2,8,BAL 25,3,24,Tyler Huntley scrambles left end for 18 yards (tackle by Greedy Williams),,
2,0:29,1,10,BAL 43,3,24,Tyler Huntley pass complete short right to Marquise Brown for 9 yards (tackle by Troy Hill),,
2,0:23,2,1,CLE 48,3,24,Tyler Huntley pass incomplete deep left intended for Sammy Watkins,,
2,0:18,3,1,CLE 48,3,24,Tyler Huntley pass complete short middle to Devonta Freeman for 4 yards (tackle by Grant Delpit),,
2,0:13,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:13,1,10,CLE 44,3,24,Tyler Huntley pass complete short left to Rashod Bateman for 20 yards (tackle by M.J. Stewart),,
2,0:06,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:06,1,10,CLE 24,6,24,Justin Tucker 42 yard field goal good,,
2,0:02,,,BAL 35,6,24,"Justin Tucker kicks off 47 yards, returned by Andy Janovich for 13 yards (tackle by Josh Oliver)",,
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,6,24,"Chase McLaughlin kicks off 65 yards, touchback.",,
3,15:00,1,10,BAL 25,6,24,Devonta Freeman right guard for 4 yards (tackle by Malcolm Smith and Malik McDowell),,
3,14:39,2,6,BAL 29,6,24,Tyler Huntley pass complete short right to Mark Andrews for 10 yards (tackle by Jeremiah Owusu-Koramoah),,
3,14:17,1,10,BAL 39,6,24,Devonta Freeman right tackle for 8 yards (tackle by Malik McDowell),,
3,13:50,2,2,BAL 47,6,24,Devonta Freeman right guard for 5 yards (tackle by Grant Delpit),,
3,13:27,1,10,CLE 48,6,24,Tyler Huntley pass complete short left to Mark Andrews for 32 yards (tackle by Troy Hill and Malcolm Smith),,
3,12:52,1,10,CLE 16,6,24,Tyler Huntley pass complete short left to Rashod Bateman for 4 yards (tackle by Denzel Ward),,
3,12:13,2,6,CLE 12,6,24,"Tyler Huntley sacked by Takkarist McKinley for -1 yards. Tyler Huntley fumbles (forced by Takkarist McKinley), recovered by Ifeadi Odenigbo at CLE-13 (tackle by Josh Oliver). Penalty on Devonta Freeman: Unnecessary Roughness / Offense, 15 yards (accepted)",,
3,12:03,1,10,CLE 28,6,24,Baker Mayfield pass incomplete short left intended for Nick Chubb,,
3,11:59,2,10,CLE 28,6,24,Nick Chubb left tackle for 5 yards (tackle by Brandon Stephens and Josh Bynes),,
3,11:15,3,5,CLE 33,6,24,Baker Mayfield scrambles left guard for 6 yards (tackle by Kevon Seymour),,
3,10:31,1,10,CLE 39,6,24,Nick Chubb left tackle for 3 yards (tackle by Odafe Oweh),,
3,9:51,2,7,CLE 42,6,24,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Tyus Bowser),,
3,9:42,3,7,CLE 42,6,24,Baker Mayfield pass complete short right to D'Ernest Johnson for 7 yards (tackle by Odafe Oweh),,
3,9:01,1,10,CLE 49,6,24,Nick Chubb left tackle for 4 yards (tackle by Chuck Clark),,
3,8:18,2,6,BAL 47,6,24,"Baker Mayfield sacked by Broderick Washington for no gain. Baker Mayfield fumbles (forced by Broderick Washington), recovered by Nick Chubb at BAL-44 BAL challenged the fumble ruling, and the original play was overturned. Baker Mayfield pass incomplete short right intended for Jarvis Landry",,
3,8:14,3,6,BAL 47,6,24,"D'Ernest Johnson right tackle for 3 yards (tackle by Brandon Stephens). Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted)",,
3,7:48,3,13,CLE 46,6,24,D'Ernest Johnson right tackle for 8 yards (tackle by Tyus Bowser and Chuck Clark),,
3,6:59,4,5,BAL 46,6,24,"Dustin Colquitt punts downed by Herb Miller. Penalty on Charley Hughlett: Offensive Holding, 10 yards (accepted) (no play)",,
3,6:53,4,15,CLE 44,6,24,"Dustin Colquitt punts 39 yards, fair catch by Devin Duvernay at BAL-17",,
3,6:45,1,10,BAL 17,6,24,Devonta Freeman right tackle for no gain (tackle by Greedy Williams),,
3,6:14,2,10,BAL 17,6,24,Tyler Huntley scrambles left end for 11 yards (tackle by Grant Delpit),,
3,5:48,1,10,BAL 28,6,24,Tyler Huntley pass incomplete short left intended for Devin Duvernay,,
3,5:44,2,10,BAL 28,6,24,"Tyler Huntley pass incomplete short left intended for Devonta Freeman. Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (accepted) (no play)",,
3,5:38,2,20,BAL 18,6,24,"Tyler Huntley scrambles right end for 13 yards (tackle by John Johnson). Penalty on Jacob Phillips: Unnecessary Roughness / Defense, 15 yards (accepted)",,
3,5:09,1,10,BAL 46,6,24,Devonta Freeman right guard for 21 yards (tackle by Grant Delpit),,
3,4:26,1,10,CLE 33,6,24,"Tyler Huntley pass incomplete short right intended for Mark Andrews. Penalty on Tyre Phillips: Offensive Holding, 10 yards (accepted) (no play)",,
3,4:20,1,20,CLE 43,6,24,"Tyler Huntley pass incomplete short right intended for Rashod Bateman. Penalty on Rashod Bateman: Offensive Pass Interference, 10 yards (accepted) (no play)",,
3,4:15,1,30,BAL 47,6,24,Tyler Huntley scrambles left tackle for 5 yards (tackle by Grant Delpit),,
3,3:37,2,25,CLE 48,6,24,Devonta Freeman for 3 yards (tackle by John Johnson),,
3,2:57,3,22,CLE 45,6,24,Tyler Huntley pass complete short right to Mark Andrews for 8 yards (tackle by M.J. Stewart),,
3,2:10,4,14,CLE 37,9,24,Justin Tucker 55 yard field goal good,,
3,2:05,,,BAL 35,9,24,"Justin Tucker kicks off 65 yards, touchback.",,
3,2:05,1,10,CLE 25,9,24,Baker Mayfield pass complete short left to Donovan Peoples-Jones for 13 yards (tackle by Chris Westry),,
3,1:24,1,10,CLE 38,9,24,Nick Chubb right guard for 11 yards (tackle by Chuck Clark and Odafe Oweh),,
3,0:45,1,10,CLE 49,9,24,Nick Chubb right tackle for 1 yard (tackle by Josh Bynes),,
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,BAL 50,9,24,Baker Mayfield pass complete deep left to Jarvis Landry for 17 yards (tackle by Tavon Young),,
4,14:27,1,10,BAL 33,9,24,Nick Chubb right guard for 2 yards (tackle by Broderick Washington),,
4,13:47,2,8,BAL 31,9,24,Nick Chubb left tackle for 7 yards (tackle by Chris Westry),,
4,13:15,3,1,BAL 24,9,24,Baker Mayfield up the middle for 1 yard (tackle by Justin Madubuike),,
4,12:27,1,10,BAL 23,9,24,Nick Chubb left guard for no gain (tackle by Chris Westry and Brandon Williams),,
4,11:45,2,10,BAL 23,9,24,Baker Mayfield pass incomplete deep left intended for Donovan Peoples-Jones (defended by Chris Westry),,
4,11:39,3,10,BAL 23,9,24,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,,
4,11:34,4,10,BAL 23,9,24,Chase McLaughlin 41 yard field goal no good,,
4,11:30,1,10,BAL 31,9,24,Devonta Freeman right guard for 2 yards (tackle by Myles Garrett),,
4,11:02,2,8,BAL 33,9,24,Tyler Huntley pass complete short right to Devonta Freeman for -3 yards (tackle by Malik McDowell and Troy Hill),,
4,10:20,3,11,BAL 30,9,24,Tyler Huntley pass incomplete short right intended for Devin Duvernay,,
4,10:10,4,11,BAL 30,9,24,Tyler Huntley pass complete short middle to Mark Andrews for 13 yards (tackle by Grant Delpit),,
4,9:54,1,10,BAL 43,9,24,"Tyler Huntley pass complete deep right to Mark Andrews for 20 yards (tackle by John Johnson). Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",,
4,9:37,1,10,CLE 37,9,24,Tyler Huntley pass complete deep left to Rashod Bateman for 36 yards (tackle by John Johnson),,
4,8:59,1,1,CLE 1,15,24,"Latavius Murray left guard for 1 yard, touchdown Penalty on CLE: Defensive Too Many Men on Field, 5 yards (declined)",,
4,8:56,,,CLE 2,15,24,Two Point Attempt: Tyler Huntley pass incomplete intended for. Interception by Grant Delpit,,
4,8:56,,,BAL 35,15,24,"Justin Tucker kicks off 40 yards, returned by Andy Janovich for 6 yards (tackle by Chuck Clark)",,
4,8:54,1,10,CLE 31,15,24,Baker Mayfield pass complete short left to Nick Chubb for 3 yards (tackle by Chris Westry),,
4,8:12,2,7,CLE 34,15,24,Baker Mayfield pass complete short right to Andy Janovich for 3 yards (tackle by Chuck Clark),,
4,7:41,3,4,CLE 37,15,24,Baker Mayfield pass incomplete short right intended for Jarvis Landry,,
4,7:27,4,4,CLE 37,15,24,Dustin Colquitt punts 41 yards out of bounds,,
4,7:20,1,10,BAL 22,15,24,Tyler Huntley pass incomplete short right intended for Devin Duvernay,,
4,7:10,2,10,BAL 22,15,24,Tyler Huntley pass incomplete short left intended for Rashod Bateman (defended by Sheldon Day),,
4,7:07,3,10,BAL 22,15,24,"Tyler Huntley pass incomplete short right. Penalty on Tyler Huntley: Intentional Grounding, 14 yards (accepted)",,
4,7:01,4,24,BAL 8,15,24,"Sam Koch punts 44 yards, returned by Jojo Natson for 6 yards (tackle by Chris Board and Kristian Welch)",,
4,6:51,1,10,BAL 46,15,24,Nick Chubb left guard for -2 yards (tackle by Justin Madubuike),,
4,6:12,2,12,BAL 48,15,24,Nick Chubb left tackle for 1 yard (tackle by Broderick Washington and Josh Bynes),,
4,6:03,,,,,,Timeout #1 by Baltimore Ravens,,
4,6:03,3,11,BAL 47,15,24,Baker Mayfield pass complete short left to Donovan Peoples-Jones for 4 yards (tackle by Kevon Seymour),,
4,5:34,4,7,BAL 43,15,24,"Dustin Colquitt punts 43 yards, touchback.. Penalty on Robert Jackson: Offensive Holding, 10 yards (accepted)",,
4,5:26,1,10,BAL 10,15,24,"Tyler Huntley pass complete short right to Marquise Brown for 12 yards (tackle by Jeremiah Owusu-Koramoah). Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",,
4,5:16,1,10,BAL 22,15,24,Tyler Huntley pass complete short right to Devonta Freeman for 3 yards (tackle by Jacob Phillips),,
4,4:54,2,7,BAL 25,15,24,Tyler Huntley pass complete short middle to Devin Duvernay for 11 yards (tackle by Troy Hill),,
4,4:34,1,10,BAL 36,15,24,Tyler Huntley pass complete short left to Devonta Freeman for 2 yards (tackle by Jacob Phillips),,
4,4:07,2,8,BAL 38,15,24,Tyler Huntley pass complete short middle to Josh Oliver for 6 yards (tackle by Grant Delpit),,
4,3:43,3,2,BAL 44,15,24,Devonta Freeman right guard for 1 yard (tackle by Jadeveon Clowney and Jacob Phillips),,
4,3:11,4,1,BAL 45,15,24,Tyler Huntley pass complete short right to Mark Andrews for 2 yards (tackle by Grant Delpit),,
4,2:58,1,10,BAL 47,15,24,Tyler Huntley pass complete short middle to Rashod Bateman for 5 yards (tackle by Jeremiah Owusu-Koramoah),,
4,2:28,2,5,CLE 48,15,24,Tyler Huntley pass complete short left to Rashod Bateman for 6 yards (tackle by Greedy Williams),,
4,2:10,1,10,CLE 42,15,24,Tyler Huntley spiked the ball,,
4,2:06,2,10,CLE 42,15,24,Tyler Huntley pass incomplete deep right intended for Marquise Brown,,
4,2:00,3,10,CLE 42,15,24,Tyler Huntley pass complete short right to Marquise Brown for 4 yards (tackle by John Johnson),,
4,1:43,,,,,,Timeout #1 by Cleveland Browns,,
4,1:43,4,6,CLE 38,15,24,Tyler Huntley pass complete deep left to Rashod Bateman for 30 yards (tackle by Greedy Williams),,
4,1:20,1,8,CLE 8,21,24,"Tyler Huntley pass complete short middle to Mark Andrews for 8 yards, touchdown",,
4,1:17,,,CLE 15,22,24,Justin Tucker kicks extra point good,,
4,1:17,,,BAL 35,22,24,"Justin Tucker kicks onside 6 yards, recovered by Chuck Clark",,
4,1:15,1,10,BAL 41,22,24,Tyler Huntley pass incomplete deep right intended for Marquise Brown,,
4,1:11,2,10,BAL 41,22,24,Tyler Huntley sacked by Jadeveon Clowney for -10 yards,,
4,1:05,,,,,,Timeout #2 by Baltimore Ravens,,
4,1:05,3,20,BAL 31,22,24,Tyler Huntley pass complete short left to Mark Andrews for 14 yards (tackle by John Johnson),,
4,1:00,,,,,,Timeout #3 by Baltimore Ravens,,
4,1:00,4,6,BAL 45,22,24,Tyler Huntley pass complete short left to Rashod Bateman for 2 yards (tackle by Denzel Ward),,
4,0:56,1,10,BAL 47,22,24,Baker Mayfield kneels for -1 yards,,
4,0:32,2,11,BAL 48,22,24,Baker Mayfield kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
