Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 61 yards, returned by Kalif Raymond for 12 yards (tackle by Cory James)",0.000,0.140
1,14:55,1,10,DEN 16,0,0,Trevor Siemian pass complete short right to Jeff Heuerman for 19 yards (tackle by Perry Riley),-0.140,1.270
1,14:19,1,10,DEN 35,0,0,"Trevor Siemian pass incomplete short left intended for Emmanuel Sanders (defended by Sean Smith). Penalty on Darius Latham: Illegal Use of Hands, 5 yards (no play)",1.270,1.600
1,14:14,1,10,DEN 40,0,0,Trevor Siemian pass complete short right to Virgil Green for 7 yards (tackle by Malcolm Smith),1.600,2.000
1,13:40,2,3,DEN 47,0,0,Justin Forsett middle for no gain (tackle by Sean Smith and T.J. Carrie),2.000,1.290
1,12:58,3,3,DEN 47,0,0,Trevor Siemian pass complete short right to Cody Latimer for 5 yards (tackle by T.J. Carrie),1.290,2.390
1,12:22,1,10,OAK 48,0,0,Trevor Siemian pass complete short right to Cody Latimer for 9 yards (tackle by Nate Allen),2.390,3.060
1,11:51,2,1,OAK 39,0,0,Justin Forsett left guard for -1 yards (tackle by Denico Autry),3.060,2.210
1,11:09,3,2,OAK 40,0,0,"Trevor Siemian pass incomplete. Penalty on David Amerson: Face Mask (15 Yards), 15 yards (no play)",2.210,3.910
1,10:58,1,10,OAK 25,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 14 yards (tackle by Perry Riley),3.910,4.840
1,10:22,1,10,OAK 11,0,6,"Devontae Booker right tackle for 11 yards, touchdown",4.840,7.000
1,10:15,,,OAK 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,10:15,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,10:15,1,10,OAK 25,0,7,Latavius Murray middle for 2 yards (tackle by Jared Crick),0.610,0.330
1,9:34,2,8,OAK 27,0,7,DeAndre Washington middle for 3 yards (tackle by Von Miller and Todd Davis),0.330,0.040
1,8:50,3,5,OAK 30,0,7,DeAndre Washington middle for 8 yards (tackle by Darian Stewart),0.040,1.470
1,8:08,1,10,OAK 38,0,7,Jalen Richard right tackle for 2 yards (tackle by Adam Gotsis),1.470,1.190
1,7:20,2,8,OAK 40,0,7,"Penalty on Matt McGloin: Delay of Game, 5 yards (no play)",1.190,0.520
1,6:54,2,13,OAK 35,0,7,Matt McGloin pass complete short left to Seth Roberts for 6 yards (tackle by Bradley Roby),0.520,0.630
1,6:14,3,7,OAK 41,0,7,Matt McGloin pass incomplete deep right intended for Michael Crabtree,0.630,-0.650
1,6:08,4,7,OAK 41,0,7,"Marquette King punts 48 yards, fair catch by Kalif Raymond",-0.650,0.370
1,5:59,1,10,DEN 11,0,7,Trevor Siemian pass complete short right to Jeff Heuerman for 2 yards (tackle by David Amerson),-0.370,-0.630
1,5:26,2,8,DEN 13,0,7,Justin Forsett right tackle for 3 yards (tackle by Mario Edwards),-0.630,-0.840
1,4:47,3,5,DEN 16,0,7,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,-0.840,-2.390
1,4:41,4,5,DEN 16,0,7,"Riley Dixon punts 42 yards, fair catch by Jalen Richard. Penalty on Dexter McDonald: Offensive Holding, 10 yards",-2.390,-1.070
1,4:33,1,10,OAK 32,0,7,Matt McGloin pass complete short middle to Michael Crabtree for 5 yards (tackle by Corey Nelson),1.070,1.200
1,3:52,2,5,OAK 37,0,7,Matt McGloin pass incomplete short right intended for Amari Cooper (defended by Darian Stewart),1.200,0.500
1,3:48,3,5,OAK 37,0,7,Matt McGloin pass complete short left to Seth Roberts for 12 yards (tackle by Bradley Roby),0.500,2.190
1,3:14,1,10,OAK 49,0,7,Jalen Richard right end for no gain (tackle by Dekoda Watson),2.190,1.650
1,2:36,2,10,OAK 49,0,7,DeAndre Washington right end for 1 yard (tackle by Kyle Peko),1.650,1.090
1,1:53,3,9,,0,7,"Penalty on Seth Roberts: False Start, 5 yards (no play)",1.090,0.430
1,1:27,3,14,OAK 45,0,7,Matt McGloin pass incomplete short right intended for Michael Crabtree,0.430,-0.390
1,1:22,4,14,OAK 45,0,7,"Marquette King punts 44 yards, fair catch by Kalif Raymond",-0.390,0.370
1,1:14,1,10,DEN 11,0,7,Devontae Booker right guard for 4 yards (tackle by James Cowser),-0.370,-0.430
1,0:37,2,6,DEN 15,0,7,Devontae Booker middle for 10 yards (tackle by Mario Edwards and Keith McGill),-0.430,0.610
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 25,0,7,Justin Forsett right tackle for -1 yards (tackle by Khalil Mack),0.610,-0.070
2,14:25,2,11,DEN 24,0,7,Justin Forsett right guard for 64 yards (tackle by Malcolm Smith),-0.070,4.780
2,13:35,1,10,OAK 12,0,7,Devontae Booker left guard for -3 yards (tackle by Denico Autry),4.780,3.660
2,13:00,2,13,OAK 15,0,7,Trevor Siemian pass complete short middle to Jordan Taylor for 7 yards (tackle by Perry Riley and T.J. Carrie),3.660,3.930
2,12:14,3,6,OAK 8,0,7,Trevor Siemian pass complete short left to Demaryius Thomas for 4 yards (tackle by Sean Smith),3.930,3.040
2,11:33,4,2,OAK 4,0,10,Brandon McManus 22 yard field goal good,3.040,3.000
2,11:30,,,DEN 35,0,10,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,11:30,1,10,OAK 25,0,10,Matt McGloin pass complete short left to Michael Crabtree for 3 yards (tackle by Chris Harris),0.610,0.470
2,10:53,2,7,OAK 28,0,10,DeAndre Washington middle for 3 yards (tackle by Billy Winn and Corey Nelson),0.470,0.170
2,10:09,3,4,OAK 31,0,10,Jalen Richard middle for 1 yard (tackle by Von Miller),0.170,-1.240
2,9:30,4,3,OAK 32,0,10,"Marquette King punts 63 yards, returned by Kalif Raymond for 11 yards (tackle by Andre Holmes)",-1.240,0.140
2,9:18,1,10,DEN 16,0,10,"Trevor Siemian pass complete short right to Juwan Thompson for 11 yards (tackle by Bruce Irvin). Penalty on Billy Turner: Offensive Holding, 8 yards (no play)",-0.140,-0.680
2,8:50,1,18,DEN 8,0,10,"Trevor Siemian pass incomplete short middle intended for Demaryius Thomas (defended by Malcolm Smith). Penalty on Malcolm Smith: Defensive Pass Interference, 5 yards (no play)",-0.680,-0.320
2,8:50,1,10,DEN 13,0,10,Devontae Booker right end for 1 yard (tackle by Malcolm Smith and James Cowser),-0.320,-0.680
2,8:05,2,9,DEN 14,0,10,Trevor Siemian pass complete short middle to Virgil Green for 8 yards (tackle by Brynden Trawick),-0.680,-0.350
2,7:28,3,1,DEN 22,0,10,Justin Forsett middle for no gain (tackle by Khalil Mack),-0.350,-1.900
2,6:56,4,1,DEN 22,0,10,"Riley Dixon punts 53 yards, returned by Jalen Richard for 9 yards (tackle by Bennie Fowler)",-1.900,-1.200
2,6:40,1,10,OAK 34,0,10,Matt McGloin pass incomplete deep left intended for Amari Cooper,1.200,0.660
2,6:34,2,10,OAK 34,0,10,Matt McGloin pass incomplete deep middle intended for Michael Crabtree,0.660,-0.030
2,6:31,3,10,OAK 34,0,10,"Matt McGloin pass incomplete deep middle intended for Michael Crabtree. Penalty on Jared Crick: Roughing the Passer, 15 yards (no play)",-0.030,2.190
2,6:27,1,10,OAK 49,0,10,Latavius Murray middle for 1 yard (tackle by Shaquil Barrett),2.190,1.780
2,5:51,2,9,,0,10,"Matt McGloin pass incomplete short left intended for Latavius Murray. Penalty on Vadal Alexander: Face Mask (15 Yards), 15 yards (no play)",1.780,-0.240
2,5:46,2,24,OAK 35,0,10,Matt McGloin pass complete short middle to Jalen Richard for -5 yards (tackle by Sylvester Williams),-0.240,-1.550
2,5:00,3,29,OAK 30,0,10,Matt McGloin pass complete short right to Amari Cooper for no gain,-1.550,-1.370
2,4:19,4,29,OAK 30,0,10,"Marquette King punts 68 yards, returned by Kalif Raymond for 25 yards (tackle by DeAndre Washington). Penalty on DeAndre Washington: Unnecessary Roughness, 15 yards",-1.370,-1.730
2,4:08,1,10,DEN 42,0,10,Trevor Siemian pass incomplete deep left intended for Demaryius Thomas,1.730,1.190
