Unnamed: 0,OAK,DEN
First Downs,11,18
Rush-Yds-TDs,16-57-0,40-143-1
Cmp-Att-Yd-TD-INT,20-32-171-1-1,17-27-206-2-1
Sacked-Yards,2-7,0-0
Net Pass Yards,164,206
Total Yards,221,349
Fumbles-Lost,3-2,1-0
Turnovers,3,1
Penalties-Yards,13-125,5-43
Third Down Conv.,2-11,5-15
Fourth Down Conv.,0-1,1-3
Time of Possession,24:35,35:25
