Unnamed: 0,WAS,ARI
First Downs,30,14
Rush-Yds-TDs,42-182-1,15-68-1
Cmp-Att-Yd-TD-INT,21-30-255-2-0,20-34-153-0-1
Sacked-Yards,3-8,2-8
Net Pass Yards,247,145
Total Yards,429,213
Fumbles-Lost,3-1,1-1
Turnovers,1,2
Penalties-Yards,9-63,9-67
Third Down Conv.,6-13,1-8
Fourth Down Conv.,1-1,0-1
Time of Possession,38:08,21:52
