Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Chris Thompson,WAS,7,6,63,1,4,4,0.7,59,9.8,1.6,3,2.0,0,0.0,0,143.7
Jordan Reed,WAS,5,4,48,1,3,23,5.8,25,6.3,5.6,0,,0,0.0,0,146.2
Paul Richardson,WAS,6,4,22,0,1,13,3.3,9,2.3,3.3,0,,0,0.0,0,72.9
Jamison Crowder,WAS,4,3,32,0,2,20,6.7,12,4.0,5.5,0,,0,0.0,0,97.9
Adrian Peterson,WAS,3,2,70,0,1,0,0.0,70,35.0,0.7,2,1.0,0,0.0,0,109.7
Vernon Davis,WAS,1,1,9,0,1,6,6.0,3,3.0,6.0,0,,0,0.0,0,104.2
Josh Doctson,WAS,3,1,11,0,1,9,9.0,2,2.0,4.3,0,,1,33.3,0,45.1
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Larry Fitzgerald,ARI,10,7,76,0,3,55,7.9,21,3.0,9.0,0,,1,10.0,0,92.1
David Johnson,ARI,9,5,30,0,1,10,2.0,20,4.0,0.8,0,,3,33.3,0,62.3
Chase Edmonds,ARI,4,4,24,0,0,4,1.0,20,5.0,1.0,1,4.0,0,0.0,0,91.7
Ricky Seals-Jones,ARI,6,3,19,0,2,14,4.7,5,1.7,8.8,0,,0,0.0,1,17.4
Christian Kirk,ARI,2,1,4,0,,4,4.0,0,0.0,4.5,0,,0,0.0,0,56.2
Chad Williams,ARI,3,0,0,0,,0,,0,,15.0,0,,0,0.0,0,39.6
