Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,ARI 13,6,0,"Alex Smith pass complete short left to Chris Thompson for 13 yards, touchdown, touchdown",4.050,7.000
2,14:54,,,ARI 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,14:54,,,WAS 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,14:54,1,10,ARI 25,7,0,Sam Bradford pass complete short middle to Larry Fitzgerald for 3 yards (tackle by Zach Brown),0.610,0.470
2,14:16,2,7,ARI 28,7,0,David Johnson up the middle for no gain (tackle by Zach Brown),0.470,-0.230
2,13:32,3,7,ARI 28,7,0,Sam Bradford pass incomplete short right intended for Ricky Seals-Jones (defended by D.J. Swearinger),-0.230,-1.500
2,13:27,4,7,ARI 28,7,0,"Andy Lee punts 57 yards, returned by Trey Quinn for 12 yards (tackle by Derrick Coleman)",-1.500,-0.740
2,13:16,1,10,WAS 27,7,0,Alex Smith right end for 5 yards (tackle by Budda Baker),0.740,0.870
2,12:43,2,5,WAS 32,7,0,Alex Smith right end for -2 yards (tackle by Antoine Bethea),0.870,-0.100
2,11:59,3,7,WAS 30,7,0,Alex Smith pass complete short middle to Chris Thompson for 11 yards (tackle by Haason Reddick),-0.100,1.660
2,11:14,1,10,WAS 41,7,0,Robert Kelley up the middle for 6 yards (tackle by Antoine Bethea and Budda Baker),1.660,1.930
2,10:52,2,4,WAS 47,7,0,Robert Kelley left tackle for no gain (tackle by Tre Boston),1.930,1.220
2,10:13,3,4,WAS 47,7,0,Alex Smith pass complete short left,1.220,-0.060
2,9:18,4,1,WAS 50,7,0,Alex Smith up the middle for 1 yard (tackle by Corey Peters),-0.060,2.320
2,8:46,1,10,ARI 49,7,0,Alex Smith pass complete short left to Jordan Reed for 22 yards (tackle by Antoine Bethea),2.320,3.780
2,8:12,1,10,ARI 27,7,0,Adrian Peterson up the middle for 5 yards (tackle by Corey Peters and Tre Boston),3.780,3.910
2,7:31,2,5,ARI 22,7,0,Alex Smith up the middle for 7 yards (tackle by Deone Bucannon),3.910,4.580
2,6:53,1,10,ARI 15,7,0,Adrian Peterson up the middle for 1 yard (tackle by Josh Bynes),4.580,4.110
2,6:13,2,9,ARI 14,7,0,Alex Smith pass complete short middle to Jamison Crowder for 10 yards (tackle by Josh Bynes),4.110,6.280
2,5:34,1,4,ARI 4,7,0,Adrian Peterson up the middle for 2 yards (tackle by Chandler Jones and Josh Bynes),6.280,5.720
2,4:57,2,2,ARI 2,7,0,Adrian Peterson up the middle for 1 yard (tackle by Josh Bynes),5.720,5.170
2,4:12,3,1,ARI 1,13,0,"Adrian Peterson up the middle for 1 yard, touchdown",5.170,7.000
2,4:10,,,ARI 15,14,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,4:10,,,WAS 35,14,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,4:10,1,10,ARI 25,14,0,Sam Bradford pass incomplete short right intended for Larry Fitzgerald,0.610,0.060
2,4:07,2,10,ARI 25,14,0,Sam Bradford pass incomplete short middle intended for Christian Kirk (defended by Quinton Dunbar),0.060,-0.620
2,4:03,3,10,ARI 25,14,0,David Johnson left end for 2 yards (tackle by Quinton Dunbar),-0.620,-1.570
2,3:27,4,8,ARI 27,14,0,"Andy Lee punts 56 yards, fair catch by Trey Quinn at WAS-17. Penalty on Robert Kelley: Offensive Holding, 9 yards",-1.570,0.380
2,3:19,1,10,WAS 8,14,0,Alex Smith pass complete short right to Chris Thompson for 23 yards (tackle by Deone Bucannon),-0.380,1.000
2,2:42,1,10,WAS 31,14,0,Alex Smith pass complete short left to Paul Richardson for 7 yards (tackle by Budda Baker),1.000,1.410
2,2:05,2,3,WAS 38,14,0,Alex Smith pass complete short right to Adrian Peterson for 18 yards (tackle by Tre Boston),1.410,2.650
2,1:57,1,10,ARI 44,14,0,Alex Smith pass complete short right to Jordan Reed for 6 yards (tackle by Tre Boston),2.650,2.920
2,1:23,2,4,ARI 38,14,0,Alex Smith pass complete short right to Paul Richardson for 6 yards (tackle by Josh Bynes),2.920,3.450
2,0:49,1,10,ARI 32,14,0,Alex Smith pass complete short middle to Jamison Crowder for 5 yards (tackle by Josh Bynes),3.450,3.580
2,0:43,,,,,,Timeout #2 by Washington Redskins,,
2,0:43,2,5,ARI 27,14,0,"Penalty on Benson Mayowa: Neutral Zone Infraction, 5 yards (no play)",3.580,4.110
2,0:43,1,10,ARI 22,14,0,"Alex Smith pass complete short middle to Jamison Crowder for 3 yards (tackle by Budda Baker). Penalty on Budda Baker: Illegal Contact, 5 yards (no play)",4.110,4.440
2,0:37,1,10,ARI 17,14,0,"Alex Smith sacked by Chandler Jones for -7 yards. Alex Smith fumbles (forced by Chandler Jones), recovered by Alex Smith at ARI-26. Penalty on Chandler Jones: Unnecessary Roughness, 12 yards",4.440,4.780
2,0:29,1,10,ARI 12,14,0,Alex Smith pass complete short left to Chris Thompson for 8 yards (tackle by Jamar Taylor),4.780,5.600
2,0:21,2,2,ARI 4,14,0,Alex Smith sacked by Patrick Peterson for no gain,5.600,4.840
2,0:12,3,2,ARI 4,20,0,"Alex Smith pass complete short right to Jordan Reed for 4 yards, touchdown",4.840,7.000
2,0:08,,,ARI 15,21,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,0:08,,,WAS 35,21,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,0:08,1,10,ARI 25,21,0,Sam Bradford kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,21,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ARI 25,21,0,Sam Bradford pass complete deep right to Larry Fitzgerald for 27 yards (tackle by D.J. Swearinger),0.610,2.390
3,14:26,1,10,WAS 48,21,0,David Johnson up the middle for 1 yard (tackle by Da'Ron Payne),2.390,1.980
3,13:44,2,9,WAS 47,21,0,Sam Bradford pass complete short left to Ricky Seals-Jones for 6 yards (tackle by Quinton Dunbar),1.980,2.080
3,13:03,3,3,WAS 41,21,0,Sam Bradford pass incomplete short left intended for David Johnson (defended by Josh Harvey-Clemons),2.080,0.530
3,12:59,4,3,WAS 41,21,0,"Andy Lee punts 33 yards, fair catch by Trey Quinn at WAS-8",0.530,0.380
3,12:52,1,10,WAS 8,21,0,Adrian Peterson left end for -4 yards (tackle by Corey Peters). Penalty on Chase Roullier: Offensive Holding (Declined),-0.380,-1.070
3,12:30,2,14,WAS 4,21,0,Alex Smith pass incomplete short middle intended for Adrian Peterson,-1.070,-1.890
3,12:25,3,14,WAS 4,21,0,Alex Smith pass incomplete short left intended for Josh Doctson,-1.890,-2.490
3,12:20,4,14,WAS 4,21,0,"Tress Way punts 55 yards, returned by Christian Kirk for no gain (tackle by Josh Harvey-Clemons). Penalty on Tre Boston: Offensive Holding, 10 yards",-2.490,-1.000
3,12:07,1,10,ARI 31,21,0,Chase Edmonds up the middle for 4 yards (tackle by Da'Ron Payne),1.000,1.000
3,11:29,2,6,ARI 35,21,0,Sam Bradford pass incomplete deep left intended for Larry Fitzgerald (defended by Quinton Dunbar),1.000,0.300
3,11:24,3,6,ARI 35,21,0,"Penalty on ARI: Delay of Game, 5 yards (no play)",0.300,-0.360
3,11:24,3,11,ARI 30,21,0,Sam Bradford pass incomplete deep left intended for Chad Williams,-0.360,-1.370
3,11:18,4,11,ARI 30,21,0,"Andy Lee punts 57 yards, returned by Trey Quinn for no gain (tackle by Bene Benwikere). Penalty on Troy Apke: Illegal Block Above the Waist (Declined) . Penalty on Fabian Moreau: Unnecessary Roughness, 5 yards",-1.370,0.380
3,11:07,1,10,WAS 8,21,0,Alex Smith up the middle for 3 yards (tackle by Deone Bucannon),-0.380,-0.560
3,10:24,2,7,WAS 11,21,0,Alex Smith pass complete short left to Josh Doctson for 11 yards (tackle by Jamar Taylor). Penalty on Jamar Taylor: Defensive Holding (Declined),-0.560,0.410
3,10:10,1,10,WAS 22,21,0,Adrian Peterson up the middle for 1 yard (tackle by Budda Baker),0.410,0.000
3,9:24,2,9,WAS 23,21,0,Alex Smith pass incomplete short right intended for Paul Richardson,0.000,-0.690
3,9:19,3,9,WAS 23,21,0,"Alex Smith pass incomplete deep middle intended for Paul Richardson. Penalty on Jamar Taylor: Defensive Holding, 5 yards (no play)",-0.690,0.810
3,9:12,1,10,WAS 28,21,0,Alex Smith pass incomplete short right intended for Josh Doctson (defended by Tre Boston),0.810,0.260
3,9:04,2,10,WAS 28,21,0,"Adrian Peterson up the middle for 1 yard (tackle by Deone Bucannon and Josh Bynes). Penalty on Antoine Bethea: Illegal Use of Hands, 5 yards",0.260,1.200
3,8:42,1,10,WAS 34,21,0,"Jamison Crowder right end for no gain (tackle by Antoine Bethea and Zach Moore). Penalty on Vernon Davis: Offensive Holding, 10 yards (no play)",1.200,0.540
3,8:09,1,20,WAS 24,21,0,Adrian Peterson left end for 17 yards (tackle by Rodney Gunter),0.540,1.600
3,7:22,2,3,WAS 41,21,0,Chris Thompson left tackle for 15 yards (tackle by Deone Bucannon),1.600,2.650
3,6:41,1,10,ARI 44,21,0,"Robert Kelley right tackle for 1 yard (tackle by Antoine Bethea). Penalty on Trent Williams: Offensive Holding, 10 yards",2.650,2.060
3,6:13,1,19,WAS 47,21,0,Alex Smith sacked by Robert Nkemdiche for -1 yards,2.060,0.760
3,5:35,2,20,WAS 46,21,0,Alex Smith pass complete short left,0.760,0.630
3,5:01,3,16,WAS 50,21,0,Alex Smith left end for 1 yard (tackle by Haason Reddick),0.630,0.000
3,4:27,4,15,ARI 49,21,0,"Tress Way punts 34 yards, fair catch by Christian Kirk at ARI-15",0.000,0.220
3,4:21,1,10,ARI 15,21,0,Sam Bradford pass complete short middle to Larry Fitzgerald for 7 yards (tackle by D.J. Swearinger),-0.220,0.350
3,3:52,2,3,ARI 22,21,0,David Johnson up the middle for 8 yards (tackle by Fabian Moreau),0.350,0.940
3,3:21,1,10,ARI 30,21,0,Sam Bradford pass incomplete short right intended for David Johnson,0.940,0.390
3,3:14,2,10,ARI 30,21,0,Sam Bradford pass complete deep left to Larry Fitzgerald for 27 yards (tackle by Mason Foster and Quinton Dunbar),0.390,2.720
3,2:33,1,10,WAS 43,21,0,Sam Bradford sacked by Ryan Anderson for -4 yards,2.720,1.640
3,2:03,2,14,WAS 47,21,0,Sam Bradford pass deep left intended for Ricky Seals-Jones is intercepted by Quinton Dunbar at WAS-27 and returned for -3 yards,1.640,-0.540
3,1:55,1,10,WAS 24,21,0,Adrian Peterson right end for 17 yards (tackle by Antoine Bethea),0.540,1.660
3,1:11,1,10,WAS 41,21,0,Chris Thompson right end for 16 yards (tackle by Josh Bynes),1.660,2.720
3,0:34,1,10,ARI 43,21,0,Adrian Peterson up the middle for 6 yards (tackle by Robert Nkemdiche),2.720,2.990
Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,ARI 37,21,0,"Alex Smith pass incomplete short right intended for Paul Richardson (defended by Jamar Taylor). Penalty on Jamar Taylor: Defensive Holding, 5 yards (no play)",2.990,3.450
4,14:54,1,10,ARI 32,21,0,Adrian Peterson up the middle for -2 yards (tackle by Garrison Smith),3.450,2.630
4,14:13,2,12,ARI 34,21,0,Alex Smith pass incomplete short left intended for Paul Richardson,2.630,1.950
4,14:09,3,12,ARI 34,21,0,Alex Smith pass complete short middle to Jamison Crowder for 17 yards (tackle by Tre Boston),1.950,4.440
4,13:31,1,10,ARI 17,21,0,Adrian Peterson right tackle for 4 yards (tackle by Budda Baker),4.440,4.500
4,12:49,2,6,ARI 13,21,0,Adrian Peterson right end for no gain (tackle by Antoine Bethea),4.500,3.680
4,12:20,3,6,ARI 13,21,0,Alex Smith pass incomplete short right intended for Jordan Reed,3.680,2.590
4,12:16,4,6,ARI 13,24,0,Dustin Hopkins 31 yard field goal good,2.590,3.000
4,12:13,,,WAS 35,24,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,12:13,1,10,ARI 25,24,0,Sam Bradford pass complete short middle to Larry Fitzgerald for 4 yards (tackle by Mason Foster),0.610,0.600
4,11:45,2,6,ARI 29,24,0,Sam Bradford pass complete short left to Ricky Seals-Jones for 7 yards (tackle by Quinton Dunbar),0.600,1.330
4,11:22,1,10,ARI 36,24,0,Chase Edmonds up the middle for 8 yards (tackle by Montae Nicholson),1.330,1.870
4,11:00,2,2,ARI 44,24,0,Chase Edmonds up the middle for 3 yards (tackle by Montae Nicholson),1.870,2.060
4,10:24,1,10,ARI 47,24,0,Sam Bradford pass complete short left to Chase Edmonds for 8 yards (tackle by Mason Foster and Fabian Moreau),2.060,2.600
4,9:58,2,2,WAS 45,24,0,Chase Edmonds left end for 9 yards (tackle by Pernell McPhee and Mason Foster),2.600,3.180
4,9:20,1,10,WAS 36,24,0,Sam Bradford pass complete short right to Chase Edmonds for 7 yards (tackle by D.J. Swearinger),3.180,3.580
4,8:45,2,3,WAS 29,24,0,Sam Bradford pass complete short right to Ricky Seals-Jones for 6 yards (tackle by Zach Brown),3.580,4.040
4,8:11,1,10,WAS 23,24,0,Sam Bradford pass complete short left to David Johnson for 6 yards (tackle by Mason Foster),4.040,4.380
4,7:36,2,4,WAS 17,24,0,Sam Bradford up the middle for 8 yards (tackle by D.J. Swearinger),4.380,5.140
4,7:00,1,9,WAS 9,24,0,Sam Bradford pass complete short left to David Johnson for 1 yard (tackle by Zach Brown),5.140,4.570
4,6:28,2,8,WAS 8,24,0,"Sam Bradford pass incomplete short right intended for Larry Fitzgerald. Penalty on Fabian Moreau: Illegal Contact, 4 yards (no play)",4.570,6.280
4,6:24,,,,,,Timeout #1 by Arizona Cardinals,,
4,6:24,1,4,WAS 4,24,0,Sam Bradford pass complete short middle to Larry Fitzgerald for 2 yards (tackle by Zach Brown),6.280,5.720
4,5:51,2,2,WAS 2,24,6,"David Johnson up the middle for 2 yards, touchdown",5.720,7.000
4,5:47,,,WAS 2,24,6,"Two Point Attempt: Sam Bradford pass incomplete intended for Christian Kirk, conversion fails",0.000,-1.000
4,5:47,,,ARI 35,24,6,"Phil Dawson kicks off 59 yards, returned by Chris Thompson for no gain (tackle by Rudy Ford)",0.000,-0.380
4,5:44,1,10,WAS 6,24,6,"Penalty on Shawn Lauvao: False Start, 3 yards (no play)",-0.380,-0.490
4,5:44,1,13,WAS 3,24,6,Adrian Peterson left end for 2 yards (tackle by Corey Peters),-0.490,-0.850
4,5:39,,,,,,Timeout #2 by Arizona Cardinals,,
4,5:39,2,11,WAS 5,24,6,"Alex Smith aborted snap, recovered by Alex Smith at WAS-4 and returned for -1 yards",-0.850,-1.650
4,5:32,,,,,,Timeout #3 by Arizona Cardinals,,
4,5:32,3,12,WAS 4,24,6,Chris Thompson right end for 7 yards (tackle by Josh Bynes),-1.650,-2.490
4,4:48,4,5,WAS 11,24,6,"Tress Way punts 59 yards, returned by Christian Kirk for 44 yards (tackle by Troy Apke)",-2.490,-3.840
4,4:30,1,10,WAS 26,24,6,Sam Bradford pass complete short middle to David Johnson for 16 yards (tackle by Zach Vigil),3.840,4.910
4,4:03,1,10,WAS 10,24,6,Sam Bradford pass incomplete short right intended for David Johnson,4.910,4.190
4,4:00,2,10,WAS 10,24,6,Sam Bradford pass complete short right to David Johnson for 3 yards (tackle by Zach Vigil),4.190,3.810
4,3:29,3,7,WAS 7,24,6,Sam Bradford pass incomplete short left intended for David Johnson,3.810,2.970
4,3:26,4,7,WAS 7,24,6,Sam Bradford pass incomplete short right intended for Ricky Seals-Jones,2.970,0.380
4,3:20,1,10,WAS 7,24,6,Adrian Peterson up the middle for -1 yards (tackle by Haason Reddick),-0.380,-0.850
4,2:36,2,11,WAS 6,24,6,Adrian Peterson up the middle for 2 yards (tackle by Budda Baker and Zach Moore),-0.850,-1.300
4,2:00,3,9,WAS 8,24,6,"Alex Smith pass complete short right to Adrian Peterson for 52 yards (tackle by Tre Boston). Adrian Peterson fumbles (forced by Tre Boston), recovered by Tre Boston at ARI-40 (tackle by Adrian Peterson)",-1.300,-1.600
4,1:45,1,10,ARI 40,24,6,Sam Bradford pass incomplete short middle intended for Larry Fitzgerald,1.600,1.050
4,1:41,2,10,ARI 40,24,6,Sam Bradford pass complete short middle to Chase Edmonds for 6 yards (tackle by Montae Nicholson),1.050,1.160
4,1:03,3,4,ARI 46,24,6,Sam Bradford pass complete short right to Larry Fitzgerald for 6 yards (tackle by Zach Vigil),1.160,2.390
4,0:40,1,10,WAS 48,24,6,Sam Bradford pass complete short right to Chase Edmonds for 3 yards (tackle by Montae Nicholson),2.390,2.250
4,0:19,2,7,WAS 45,24,6,Sam Bradford pass incomplete short right intended for Chad Williams,2.250,1.550
4,0:14,3,7,WAS 45,24,6,"Sam Bradford sacked by Matthew Ioannidis for -4 yards. Sam Bradford fumbles (forced by Matthew Ioannidis), recovered by Matthew Ioannidis at WAS-49 (tackle by Justin Pugh)",1.550,-2.190
4,0:06,1,10,WAS 49,24,6,Alex Smith kneels for -1 yards,2.190,1.510
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
