Quarter,Time,Tm,Detail,WAS,ARI
2.0,14:54,Redskins,Chris Thompson 13 yard pass from Alex Smith (Dustin Hopkins kick),7,0
,4:10,Redskins,Adrian Peterson 1 yard rush (Dustin Hopkins kick),14,0
,0:08,Redskins,Jordan Reed 4 yard pass from Alex Smith (Dustin Hopkins kick),21,0
4.0,12:13,Redskins,Dustin Hopkins 31 yard field goal,24,0
,5:47,Cardinals,David Johnson 2 yard rush (pass failed),24,6
