Unnamed: 0,ARI,SFO
First Downs,20,16
Rush-Yds-TDs,38-161-1,22-92-2
Cmp-Att-Yd-TD-INT,14-28-102-1-2,15-31-126-0-0
Sacked-Yards,1-2,3-24
Net Pass Yards,100,102
Total Yards,261,194
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,10-71,6-40
Third Down Conv.,6-15,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,34:32,25:28
