Quarter,Time,Tm,Detail,ARI,SFO
1.0,11:21,49ers,Frank Gore 6 yard rush (Joe Nedney kick),0,7
2.0,12:51,Cardinals,Neil Rackers 35 yard field goal,3,7
,9:10,Cardinals,Edgerrin James 7 yard rush (Neil Rackers kick),10,7
,3:35,49ers,Joe Nedney 33 yard field goal,10,10
3.0,11:15,49ers,Joe Nedney 30 yard field goal,10,13
4.0,6:40,Cardinals,Anquan Boldin 5 yard pass from Matt Leinart (Neil Rackers kick),17,13
,0:22,49ers,Arnaz Battle 1 yard rush (Joe Nedney kick),17,20
