Unnamed: 0,STL,DEN
First Downs,15,18
Rush-Yds-TDs,13-32-1,26-104-0
Cmp-Att-Yd-TD-INT,32-41-315-0-1,18-27-202-2-2
Sacked-Yards,3-20,4-15
Net Pass Yards,295,187
Total Yards,327,291
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,6-44,3-31
Third Down Conv.,3-12,2-10
Fourth Down Conv.,0-1,1-1
Time of Possession,31:46,28:14
