Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Jason Elam kicks off 69 yards, returned by Lamar Gordon for 11 yards. Lamar Gordon fumbles, recovered by Dexter McCleon at STL-11",0.000,-0.370
1,14:54,1,10,STL 11,0,0,Kurt Warner pass complete to Ernie Conwell for 43 yards (tackle by Ian Gold and Izell Reese),-0.370,2.520
1,14:03,1,10,DEN 46,0,0,Marshall Faulk middle for 3 yards (tackle by Ian Gold),2.520,2.380
1,13:22,2,7,DEN 43,0,0,Kurt Warner pass complete to Marshall Faulk for 8 yards (tackle by John Mobley),2.380,3.250
1,12:43,1,10,DEN 35,0,0,Marshall Faulk right tackle for -2 yards (tackle by John Mobley),3.250,2.430
1,12:00,2,12,DEN 37,0,0,"Penalty on Tom Nutten: False Start, 5 yards (no play)",2.430,1.760
1,11:42,2,17,DEN 42,0,0,Kurt Warner sacked by Monsanto Pope for -2 yards,1.760,0.830
1,11:12,3,19,DEN 44,0,0,Kurt Warner pass complete to Ernie Conwell for 9 yards (tackle by John Mobley and Al Wilson),0.830,0.970
1,10:24,4,10,DEN 35,0,0,Mitch Berger punts 32 yards,0.970,0.380
1,10:12,1,10,DEN 3,0,0,Olandis Gary middle for 7 yards (tackle by Kim Herring),-0.380,-0.270
1,9:39,2,3,DEN 10,0,0,Brian Griese pass incomplete intended for Rod Smith,-0.270,-0.600
1,9:34,3,3,DEN 10,0,0,Brian Griese sacked by Leonard Little for -6 yards,-0.600,-2.490
1,9:12,4,9,DEN 4,0,0,"Tom Rouen punts 54 yards. Penalty on Grant Wistrom: Roughing the Kicker, 15 yards (no play)",-2.490,0.150
1,9:00,1,10,DEN 19,0,0,Brian Griese pass complete to Ed McCaffrey for 27 yards (tackle by Adam Archuleta),0.150,1.990
1,8:22,1,10,DEN 46,0,0,Olandis Gary left tackle for 3 yards (tackle by Tommy Polley),1.990,1.860
1,7:48,2,7,DEN 49,0,0,Brian Griese right end for 13 yards (tackle by Adam Archuleta),1.860,3.050
1,7:03,1,10,STL 38,0,0,Brian Griese pass incomplete intended for Ed McCaffrey,3.050,2.510
1,6:56,2,10,STL 38,0,0,Clinton Portis left end for 11 yards (tackle by Kim Herring),2.510,3.780
1,6:15,1,10,STL 27,0,0,Mike Anderson left end for 2 yards (tackle by Adam Archuleta),3.780,3.500
1,5:49,2,8,STL 25,0,0,Brian Griese pass complete to Shannon Sharpe for 10 yards (tackle by Dre' Bly),3.500,4.580
1,5:07,1,10,STL 15,0,0,Brian Griese for 4 yards,4.580,4.640
1,4:34,2,6,STL 11,0,0,Mike Anderson middle for 4 yards (tackle by Jamie Duncan),4.640,4.680
1,3:57,3,2,STL 7,0,6,"Brian Griese pass complete to Rod Smith for 7 yards, touchdown",4.680,7.000
1,3:57,,,STL 7,0,7,Jason Elam kicks extra point good,0.000,0.000
1,3:57,,,DEN 30,0,7,"Jason Elam kicks off 75 yards, returned by Lamar Gordon for 21 yards (tackle by Sam Brandon)",0.000,-0.140
1,3:47,1,10,STL 16,0,7,Kurt Warner pass incomplete intended for Marshall Faulk,-0.140,-0.660
1,3:43,2,10,STL 16,0,7,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by Trevor Pryce),-0.660,-0.200
1,3:04,3,1,STL 25,0,7,Marshall Faulk left guard for no gain (tackle by Chester McGlockton),-0.200,-1.700
1,2:18,4,1,STL 25,0,7,"Mitch Berger punts 39 yards, returned by Deltha O'Neal for 4 yards (tackle by Tommy Polley)",-1.700,-1.600
1,2:04,1,10,DEN 40,0,7,Olandis Gary right tackle for 2 yards (tackle by Ryan Pickett),1.600,1.320
1,1:27,2,8,DEN 42,0,7,Brian Griese pass complete to Rod Smith for 14 yards (tackle by Jamie Duncan),1.320,2.650
1,0:46,1,10,STL 44,0,7,Brian Griese pass complete to Shannon Sharpe for 7 yards (tackle by Aeneas Williams),2.650,3.060
1,0:08,2,3,STL 37,0,7,Mike Anderson middle for 6 yards (tackle by Adam Archuleta),3.060,3.510
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 31,0,7,Clinton Portis right guard for 2 yards (tackle by Don Davis),3.510,3.240
2,14:24,2,8,STL 29,0,7,Brian Griese pass complete to Dwayne Carswell for 6 yards (tackle by Tommy Polley),3.240,3.340
2,13:53,3,2,STL 23,0,7,Mike Anderson left guard for no gain (tackle by Adam Archuleta),3.340,2.050
2,13:09,3,2,STL 23,,,Timeout #1 by Denver Broncos,3.340,2.050
2,13:09,4,2,STL 23,0,10,Jason Elam 41 yard field goal good,2.050,3.000
2,13:09,,,DEN 30,0,10,"Jason Elam kicks off 69 yards, returned by Lamar Gordon for 30 yards (tackle by Scottie Montgomery)",0.000,1.000
2,12:59,1,10,STL 31,0,10,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by Montae Reagor),1.000,1.680
2,12:22,2,1,STL 40,0,10,Chris Hetherington middle for no gain (tackle by Chester McGlockton and Al Wilson),1.680,0.960
2,11:56,3,1,STL 40,0,10,Marshall Faulk left tackle for 1 yard (tackle by Kavika Pittman),0.960,1.660
2,11:18,1,10,STL 41,0,10,Kurt Warner sacked by Trevor Pryce for -9 yards,1.660,-0.100
2,10:48,2,19,STL 32,0,10,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by Ian Gold),-0.100,0.430
2,10:03,3,10,STL 41,0,10,Kurt Warner pass complete to Torry Holt for 23 yards (tackle by Izell Reese),0.430,3.180
2,9:20,1,10,DEN 36,0,10,Kurt Warner pass complete to Torry Holt for 13 yards (tackle by Deltha O'Neal),3.180,4.040
2,8:41,1,10,DEN 23,0,10,Kurt Warner pass complete to Torry Holt for 4 yards (tackle by John Mobley),4.040,4.050
2,8:06,2,6,DEN 19,0,10,Kurt Warner pass complete to Marshall Faulk for 5 yards (tackle by Kavika Pittman),4.050,4.280
2,7:18,3,1,DEN 14,0,10,Kurt Warner sacked by Al Wilson for -9 yards,4.280,1.930
2,6:47,4,10,DEN 23,3,10,Jeff Wilkins 41 yard field goal good. Penalty on Tyrone Poole: Defensive Offside (Declined),1.930,3.000
2,6:47,,,STL 30,3,10,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
2,6:43,1,10,DEN 20,3,10,Brian Griese pass incomplete intended for Shannon Sharpe,0.280,-0.270
2,6:38,2,10,DEN 20,3,10,Mike Anderson left tackle for 2 yards (tackle by Grant Wistrom),-0.270,-0.690
2,5:59,3,8,DEN 22,3,10,Brian Griese pass incomplete intended for Shannon Sharpe (defended by Adam Archuleta),-0.690,-1.900
2,5:56,4,8,DEN 22,3,10,"Tom Rouen punts 45 yards, returned by Terrence Wilkins for no gain",-1.900,-1.140
2,5:45,1,10,STL 33,3,10,Kurt Warner pass complete to Ricky Proehl for 7 yards (tackle by Al Wilson),1.140,1.540
2,5:15,2,3,STL 40,3,10,Marshall Faulk right tackle for -1 yards (tackle by Chester McGlockton),1.540,0.700
2,4:42,2,3,STL 40,,,Timeout #1 by Los Angeles Rams,1.540,0.700
2,4:42,3,4,STL 39,3,10,Kurt Warner pass incomplete is intercepted by Keith Washington at DEN-46 and returned for -2 yards,0.700,-1.860
2,4:30,1,10,DEN 44,3,10,Brian Griese pass complete to Mike Anderson for 15 yards (tackle by Kim Herring),1.860,2.850
2,3:51,1,10,STL 41,3,10,Olandis Gary left tackle for 4 yards (tackle by Jeff Zgonina),2.850,2.850
