Unnamed: 0,JAX,LAR
First Downs,14,24
Rush-Yds-TDs,25-61-1,27-128-1
Cmp-Att-Yd-TD-INT,16-28-145-0-0,26-38-295-3-0
Sacked-Yards,2-9,1-5
Net Pass Yards,136,290
Total Yards,197,418
Fumbles-Lost,3-2,1-0
Turnovers,2,0
Penalties-Yards,3-39,7-47
Third Down Conv.,5-12,5-12
Fourth Down Conv.,1-2,1-1
Time of Possession,26:15,33:45
