Quarter,Time,Tm,Detail,JAX,LAR
1.0,12:20,Rams,Matt Gay 40 yard field goal,0,3
,10:25,Rams,Sony Michel 5 yard rush (Matt Gay kick),0,10
2.0,13:23,Jaguars,Carlos Hyde 1 yard rush (Matthew Wright kick),7,10
,7:41,Rams,Matt Gay 44 yard field goal,7,13
,0:19,Rams,Matt Gay 37 yard field goal,7,16
3.0,11:43,Rams,Cooper Kupp 29 yard pass from Matthew Stafford (Matt Gay kick),7,23
,3:27,Rams,Van Jefferson 2 yard pass from Matthew Stafford (Matt Gay kick),7,30
4.0,10:52,Rams,Odell Beckham Jr. 1 yard pass from Matthew Stafford (Matt Gay kick),7,37
