Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Neil Rackers kicks off 72 yards, returned by Jorrick Calvin for 102 yards. Penalty on Clay Harbor: Offensive Holding, 10 yards",0.000,-0.350
1,14:46,1,10,PHI 12,0,0,Michael Vick pass complete deep middle to DeSean Jackson for 30 yards (tackle by Eugene Wilson),-0.350,1.730
1,14:02,1,10,PHI 42,0,0,Michael Vick pass complete short right to Jason Avant for 4 yards (tackle by Glover Quin),1.730,1.730
1,13:16,2,6,PHI 46,0,0,Michael Vick pass complete short left to LeSean McCoy for 16 yards (tackle by Jason Allen),1.730,3.050
1,12:33,1,10,HOU 38,0,0,Chad Hall left tackle for no gain (tackle by Tim Jamison),3.050,2.510
1,11:55,2,10,HOU 38,0,0,"Penalty on Winston Justice: False Start, 5 yards (no play)",2.510,1.830
1,11:32,2,15,HOU 43,0,0,Michael Vick pass complete short right to Jeremy Maclin for 6 yards (tackle by Jason Allen),1.830,1.950
1,10:52,3,9,HOU 37,0,0,Michael Vick pass complete short right to Brent Celek for 20 yards (tackle by Brian Cushing),1.950,4.440
1,10:10,1,10,HOU 17,0,0,Michael Vick left end for 3 yards (tackle by Damione Lewis),4.440,4.320
1,9:24,2,7,HOU 14,0,0,Michael Vick pass complete short left to Jeremy Maclin for 12 yards (tackle by Jason Allen),4.320,6.740
1,8:43,1,2,HOU 2,0,0,Michael Vick pass incomplete short left intended for Jason Avant,6.740,5.720
1,8:36,2,2,HOU 2,0,0,Chad Hall middle for 1 yard (tackle by Kevin Bentley),5.720,5.170
1,8:01,3,1,HOU 1,0,6,"Michael Vick pass complete short left to LeSean McCoy for 1 yard, touchdown",5.170,7.000
1,,,,HOU 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 56 yards, returned by Steve Slaton for 17 yards (tackle by Moise Fokou)",0.000,1.000
1,7:47,1,10,HOU 31,0,7,Matt Schaub pass incomplete short left intended for Arian Foster,1.000,0.460
1,7:43,2,10,HOU 31,0,7,"Andre Johnson left end for 7 yards (tackle by Dimitri Patterson). Penalty on Dimitri Patterson: Face Mask (15 Yards), 15 yards",0.460,2.460
1,7:19,1,10,PHI 47,0,7,Matt Schaub pass complete short left to Vonta Leach for 21 yards (tackle by Ernie Sims),2.460,3.840
1,6:42,1,10,PHI 26,0,7,"Penalty on Duane Brown: False Start, 5 yards (no play)",3.840,3.510
1,6:24,1,15,PHI 31,0,7,Arian Foster left end for -2 yards (tackle by Dimitri Patterson),3.510,2.350
1,5:50,2,17,PHI 33,0,7,Arian Foster left tackle for 3 yards (tackle by Stewart Bradley),2.350,2.080
1,5:08,3,14,PHI 30,0,7,Matt Schaub pass incomplete short left intended for Joel Dreessen,2.080,1.410
1,4:59,4,14,PHI 30,3,7,Neil Rackers 48 yard field goal good,1.410,3.000
1,,,,HOU 30,3,7,"Neil Rackers kicks off 73 yards, returned by Jorrick Calvin for 31 yards (tackle by Darryl Sharpton)",0.000,0.810
1,4:48,1,10,PHI 28,3,7,LeSean McCoy right tackle for 12 yards (tackle by Bernard Pollard),0.810,1.600
1,4:12,1,10,PHI 40,3,7,"Michael Vick for no gain. Michael Vick fumbles, recovered by LeSean McCoy at PHI-39",1.600,0.920
1,3:37,2,11,PHI 39,3,7,Michael Vick for 8 yards,0.920,1.290
1,3:07,3,3,PHI 47,3,7,Michael Vick pass complete short left to DeSean Jackson for 21 yards,1.290,3.450
1,2:33,1,10,HOU 32,3,7,LeSean McCoy middle for 2 yards (tackle by Brian Cushing),3.450,3.170
1,1:59,2,8,HOU 30,3,7,DeSean Jackson for no gain (tackle by Brian Cushing),3.170,2.480
1,1:23,3,8,HOU 30,3,7,Michael Vick middle for 10 yards (tackle by Mark Anderson),2.480,4.240
1,0:33,1,10,HOU 20,3,7,Michael Vick pass incomplete deep middle intended for Brent Celek (defended by Bernard Pollard),4.240,3.690
1,0:28,2,10,HOU 20,3,7,LeSean McCoy middle for 13 yards (tackle by Brian Cushing and Troy Nolan),3.690,5.600
Quarter,Time,Down,ToGo,Location,HOU,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,7,HOU 7,3,7,Michael Vick pass complete short left to LeSean McCoy for 3 yards (tackle by Jason Allen),5.600,5.340
2,14:33,2,4,HOU 4,3,13,"LeSean McCoy left tackle for 4 yards, touchdown",5.340,7.000
2,,,,HOU 2,3,14,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,3,14,"David Akers kicks off 70 yards, returned by Steve Slaton for 21 yards (tackle by Jamar Chaney)",0.000,0.340
2,14:07,1,10,HOU 21,3,14,Arian Foster middle for 9 yards (tackle by Quintin Mikell),0.340,1.020
2,13:49,2,1,HOU 30,3,14,Arian Foster left end for 3 yards (tackle by Trevor Laws),1.020,1.140
2,13:19,1,10,HOU 33,3,14,Matt Schaub pass incomplete short right intended for Andre Johnson,1.140,0.590
2,13:13,2,10,HOU 33,3,14,Matt Schaub pass incomplete short middle intended for Joel Dreessen,0.590,-0.100
2,13:07,3,10,HOU 33,3,14,Matt Schaub pass incomplete,-0.100,-1.180
2,13:02,4,10,HOU 33,3,14,Matt Turk punts 36 yards,-1.180,-1.000
2,12:51,1,10,PHI 31,3,14,Michael Vick pass complete deep left to Jeremy Maclin for 34 yards,1.000,3.250
2,12:16,,,,3,14,Timeout #1 by Philadelphia Eagles,0.000,3.250
2,12:16,1,10,HOU 35,3,14,Michael Vick sacked by Bernard Pollard for -1 yards,3.250,2.570
