Unnamed: 0,HOU,PHI
First Downs,27,22
Rush-Yds-TDs,26-108-1,29-115-2
Cmp-Att-Yd-TD-INT,22-36-337-2-1,22-33-302-2-1
Sacked-Yards,2-14,1-1
Net Pass Yards,323,301
Total Yards,431,416
Fumbles-Lost,1-1,2-0
Turnovers,2,1
Penalties-Yards,4-25,11-85
Third Down Conv.,6-10,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:11,31:49
