Quarter,Time,Tm,Detail,SEA,NWE
1.0,10:19,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),0,7
,7:10,Seahawks,Stephen Hauschka 27 yard field goal,3,7
,1:33,Seahawks,Stephen Hauschka 31 yard field goal,6,7
2.0,10:52,Seahawks,Doug Baldwin 6 yard pass from Russell Wilson (Stephen Hauschka kick failed),12,7
,1:05,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),12,14
,0:06,Seahawks,Doug Baldwin 18 yard pass from Russell Wilson (Stephen Hauschka kick),19,14
3.0,7:52,Patriots,LeGarrette Blount 13 yard rush (Stephen Gostkowski kick),19,21
,2:52,Seahawks,Stephen Hauschka 41 yard field goal,22,21
4.0,13:00,Patriots,Stephen Gostkowski 30 yard field goal,22,24
,8:56,Seahawks,Stephen Hauschka 23 yard field goal,25,24
,4:24,Seahawks,Doug Baldwin 15 yard pass from Russell Wilson (pass failed),31,24
