Unnamed: 0,SEA,NWE
First Downs,23,25
Rush-Yds-TDs,26-96-0,28-81-3
Cmp-Att-Yd-TD-INT,25-37-348-3-0,23-32-316-0-1
Sacked-Yards,3-24,2-12
Net Pass Yards,324,304
Total Yards,420,385
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,8-60,7-61
Third Down Conv.,6-12,6-10
Fourth Down Conv.,0-0,0-1
Time of Possession,30:25,29:35
