Unnamed: 0,PHI,WAS
First Downs,21,20
Rush-Yds-TDs,30-72-0,22-87-1
Cmp-Att-Yd-TD-INT,22-35-340-3-0,25-43-211-0-0
Sacked-Yards,3-12,9-58
Net Pass Yards,328,153
Total Yards,400,240
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,5-52,4-48
Third Down Conv.,5-15,6-17
Fourth Down Conv.,2-3,0-2
Time of Possession,27:06,32:54
