Quarter,Time,Tm,Detail,CIN,KAN
1.0,8:50,Chiefs,Harrison Butker 43 yard field goal,0,3
2.0,14:58,Chiefs,Harrison Butker 24 yard field goal,0,6
,8:36,Bengals,Evan McPherson 30 yard field goal,3,6
,3:50,Chiefs,Travis Kelce 14 yard pass from Patrick Mahomes (Harrison Butker kick),3,13
,0:00,Bengals,Evan McPherson 23 yard field goal,6,13
3.0,9:54,Bengals,Tee Higgins 27 yard pass from Joe Burrow (Evan McPherson kick),13,13
,4:15,Chiefs,Marquez Valdes-Scantling 19 yard pass from Patrick Mahomes (Harrison Butker kick),13,20
4.0,13:30,Bengals,Samaje Perine 2 yard rush (Evan McPherson kick),20,20
,0:03,Chiefs,Harrison Butker 45 yard field goal,20,23
