Quarter,Time,Down,ToGo,Location,SEA,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Case Keenum pass incomplete short left intended for Demaryius Thomas,0.610,0.060
1,14:57,2,10,DEN 25,0,0,"Royce Freeman left end for 6 yards (tackle by Tre Flowers). Penalty on Demaryius Thomas: Offensive Holding, 10 yards",0.060,-0.480
1,14:25,2,14,DEN 21,0,0,Case Keenum pass incomplete short middle intended for Demaryius Thomas (defended by Earl Thomas),-0.480,-1.150
1,14:17,3,14,DEN 21,0,0,Case Keenum pass complete short right to Emmanuel Sanders for 14 yards,-1.150,1.270
1,13:51,1,10,DEN 35,0,0,Royce Freeman up the middle for no gain (tackle by Shaquill Griffin),1.270,0.720
1,13:10,2,10,DEN 35,0,0,Phillip Lindsay left guard for 4 yards (tackle by Justin Coleman),0.720,0.560
1,12:28,3,6,DEN 39,0,0,Case Keenum pass incomplete deep left intended for Matt LaCosse,0.560,-0.780
1,12:23,4,6,DEN 39,0,0,Marquette King punts 45 yards downed by Tim Patrick,-0.780,0.140
1,12:11,1,10,SEA 16,0,0,Russell Wilson sacked by Darian Stewart and Bradley Chubb for -6 yards,-0.140,-1.220
1,11:27,2,16,SEA 10,0,0,Russell Wilson pass incomplete deep right intended for Will Dissly,-1.220,-2.120
1,11:18,3,16,SEA 10,0,0,Chris Carson up the middle for 10 yards (tackle by Chris Harris and Darian Stewart),-2.120,-2.030
1,10:43,4,6,SEA 20,0,0,"Michael Dickson punts 60 yards, returned by Adam Jones for no gain (tackle by Austin Calitro). Penalty on Keishawn Bierria: Offensive Holding, 10 yards",-2.030,0.380
1,10:29,1,10,DEN 10,0,0,Case Keenum pass complete short right to Emmanuel Sanders for 9 yards (tackle by Shaquill Griffin),-0.380,0.240
1,9:57,2,1,DEN 19,0,0,Royce Freeman up the middle for 5 yards (tackle by Shaquem Griffin),0.240,0.540
1,9:21,1,10,DEN 24,0,0,Case Keenum pass deep right intended for Demaryius Thomas is intercepted by Earl Thomas at DEN-40 and returned for 25 yards,0.540,-4.580
1,9:10,1,10,DEN 15,6,0,"Russell Wilson pass complete short left to Will Dissly for 15 yards, touchdown",4.580,7.000
1,9:04,,,DEN 15,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,9:04,,,SEA 35,7,0,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
1,9:04,1,10,DEN 25,7,0,Case Keenum pass complete deep middle to Courtland Sutton for 20 yards (tackle by Tedric Thompson),0.610,1.930
1,8:39,1,10,DEN 45,7,0,Royce Freeman up the middle for 3 yards (tackle by Shaquem Griffin),1.930,1.790
1,8:10,2,7,DEN 48,7,0,Case Keenum pass complete short right to Demaryius Thomas for 8 yards (tackle by Shaquill Griffin),1.790,2.650
1,7:50,1,10,SEA 44,7,0,Case Keenum pass incomplete short middle intended for Demaryius Thomas,2.650,2.110
1,7:43,2,10,SEA 44,7,0,Case Keenum pass complete short left to Demaryius Thomas for 10 yards (tackle by Tedric Thompson and Barkevious Mingo),2.110,3.310
1,6:58,1,10,SEA 34,7,0,Case Keenum pass complete short left to Emmanuel Sanders for 5 yards (tackle by Tedric Thompson),3.310,3.450
1,6:18,2,5,SEA 29,7,6,"Case Keenum pass complete short left to Phillip Lindsay for 29 yards, touchdown",3.450,7.000
1,6:10,,,SEA 15,7,7,Brandon McManus kicks extra point good,0.000,0.000
1,6:10,,,DEN 35,7,7,"Brandon McManus kicks off 63 yards, returned by Tyler Lockett for no gain (tackle by Andy Janovich)",0.000,1.070
1,6:03,1,10,SEA 32,7,7,Rashaad Penny right guard for 2 yards (tackle by Todd Davis),1.070,0.800
1,5:29,2,8,SEA 34,7,7,Rashaad Penny left end for 5 yards (tackle by Bradley Chubb),0.800,0.760
1,4:46,3,3,SEA 39,7,7,Russell Wilson pass incomplete short left intended for Tyler Lockett (defended by Adam Gotsis),0.760,-0.780
1,4:42,4,3,SEA 39,7,7,Michael Dickson punts 59 yards downed by Neiko Thorpe,-0.780,0.380
1,4:30,1,10,DEN 2,7,7,Case Keenum pass complete short left to Demaryius Thomas for 23 yards (tackle by Bobby Wagner and Earl Thomas),-0.380,0.610
1,3:44,1,10,DEN 25,7,7,Case Keenum pass complete short right to Emmanuel Sanders for 8 yards (tackle by Shaquill Griffin),0.610,1.140
1,3:07,2,2,DEN 33,7,7,Case Keenum pass incomplete deep left intended for Tim Patrick (defended by Bobby Wagner),1.140,0.430
1,2:58,3,2,DEN 33,7,7,Phillip Lindsay left end for 3 yards (tackle by Barkevious Mingo),0.430,1.330
1,2:20,1,10,DEN 36,7,7,Royce Freeman right end for 7 yards (tackle by Bobby Wagner),1.330,1.740
1,1:40,2,3,DEN 43,7,7,Royce Freeman left guard for no gain (tackle by Bradley McDougald),1.740,1.030
1,1:00,3,3,DEN 43,7,7,Case Keenum pass incomplete short right intended for Phillip Lindsay,1.030,-0.520
1,0:56,4,3,DEN 43,7,7,Marquette King punts 52 yards out of bounds,-0.520,0.380
1,0:45,1,10,SEA 5,7,7,Chris Carson right tackle for 24 yards (tackle by Justin Simmons),-0.380,0.870
1,0:13,1,10,SEA 29,7,7,Russell Wilson pass complete short middle to Will Dissly for 66 yards (tackle by Brandon Marshall),0.870,6.060
Quarter,Time,Down,ToGo,Location,SEA,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
