Unnamed: 0,SEA,DEN
First Downs,13,25
Rush-Yds-TDs,16-64-0,32-146-0
Cmp-Att-Yd-TD-INT,19-33-298-3-2,25-39-329-3-3
Sacked-Yards,6-56,1-5
Net Pass Yards,242,324
Total Yards,306,470
Fumbles-Lost,3-1,0-0
Turnovers,3,3
Penalties-Yards,7-45,7-60
Third Down Conv.,2-12,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,24:52,35:08
