Unnamed: 0,NOR,BAL
First Downs,22,19
Rush-Yds-TDs,41-150-3,24-114-1
Cmp-Att-Yd-TD-INT,16-33-226-1-0,18-39-316-2-2
Sacked-Yards,2-17,2-20
Net Pass Yards,209,296
Total Yards,359,410
Fumbles-Lost,2-2,3-3
Turnovers,2,5
Penalties-Yards,4-35,8-69
Third Down Conv.,7-18,4-12
Fourth Down Conv.,3-3,1-2
Time of Possession,34:26,25:34
