Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Phil Dawson kicks off 68 yards, returned by Knile Davis for 22 yards (tackle by Chris Borland)",0.000,-0.150
1,14:55,1,10,KAN 19,0,0,Jamaal Charles right tackle for 7 yards (tackle by Patrick Willis and Justin Smith),0.150,0.610
1,14:17,2,3,KAN 26,0,0,Jamaal Charles left guard for 2 yards (tackle by Patrick Willis),0.610,0.100
1,13:40,3,1,KAN 28,0,0,Alex Smith pass complete short middle to Anthony Fasano for 13 yards (tackle by Antoine Bethea),0.100,1.660
1,13:03,1,10,KAN 41,0,0,Alex Smith pass complete short left to Anthony Fasano for 7 yards (tackle by Chris Culliver),1.660,2.070
1,12:24,2,3,KAN 48,0,0,Alex Smith pass incomplete short right intended for Anthony Fasano,2.070,1.360
1,12:20,3,3,KAN 48,0,0,Alex Smith pass complete short left to Junior Hemingway for 10 yards (tackle by Patrick Willis),1.360,2.790
1,11:44,1,10,SFO 42,0,0,Knile Davis right end for 3 yards (tackle by Ray McDonald and Eric Reid),2.790,2.650
1,11:04,2,7,SFO 39,0,0,Alex Smith pass complete short middle to Junior Hemingway for 17 yards (tackle by Jimmie Ward),2.650,4.110
1,10:35,1,10,SFO 22,0,0,"Penalty on Ahmad Brooks: Neutral Zone Infraction, 5 yards (no play)",4.110,4.970
1,10:09,1,5,SFO 17,0,0,Alex Smith pass complete short left to Anthony Fasano for 12 yards (tackle by Patrick Willis and Antoine Bethea),4.970,6.060
1,9:28,1,5,SFO 5,0,0,Alex Smith pass incomplete short left intended for Jamaal Charles,6.060,5.150
1,9:21,2,5,SFO 5,0,0,Jamaal Charles right guard for 3 yards (tackle by Ian Williams),5.150,4.950
1,8:42,3,2,SFO 2,6,0,"Alex Smith pass complete short left to Travis Kelce for 2 yards, touchdown",4.950,7.000
1,8:42,,,SFO 2,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,8:42,,,KAN 35,7,0,"Cairo Santos kicks off 70 yards, returned by Bruce Ellington for 33 yards (tackle by Anthony Sherman)",0.000,-0.810
1,8:31,1,10,SFO 28,7,0,Frank Gore left tackle for 6 yards (tackle by Dontari Poe),0.810,1.070
1,7:57,2,4,SFO 34,7,0,Colin Kaepernick pass incomplete short left intended for Anquan Boldin,1.070,0.370
1,7:55,3,4,SFO 34,7,0,Colin Kaepernick pass complete short middle to Brandon Lloyd for 9 yards (tackle by Sean Smith),0.370,1.800
1,7:21,1,10,SFO 43,7,0,Carlos Hyde left tackle for 9 yards (tackle by Sean Smith),1.800,2.470
1,6:44,2,1,KAN 48,7,0,Colin Kaepernick pass complete short right to Anquan Boldin for 18 yards (tackle by Marcus Cooper),2.470,3.580
1,6:16,1,10,KAN 30,7,0,Frank Gore left tackle for 12 yards (tackle by Ron Parker and Husain Abdullah),3.580,4.370
1,5:36,1,10,KAN 18,7,0,Anquan Boldin pass incomplete deep right intended for Michael Crabtree,4.370,3.800
1,5:30,2,10,KAN 18,7,0,Colin Kaepernick right tackle for 5 yards (tackle by Justin Houston),3.800,3.820
1,4:44,3,5,KAN 13,7,0,Colin Kaepernick pass incomplete short right intended for Steve Johnson (defended by Ron Parker),3.820,2.620
1,4:41,4,5,KAN 13,7,3,Phil Dawson 31 yard field goal good,2.620,3.000
1,4:41,,,SFO 35,7,3,"Phil Dawson kicks off 69 yards, returned by Knile Davis for 17 yards (tackle by Chris Cook)",0.000,0.320
1,4:30,1,10,KAN 13,7,3,Jamaal Charles left tackle for 6 yards (tackle by Dan Skuta),-0.320,0.030
1,3:53,2,4,KAN 19,7,3,Alex Smith pass incomplete deep left intended for Anthony Fasano,0.030,-0.710
1,3:48,3,4,KAN 19,7,3,Alex Smith pass complete short left to Junior Hemingway for 7 yards (tackle by Michael Wilhoite and Jimmie Ward),-0.710,0.670
1,3:07,1,10,KAN 26,7,3,A.J. Jenkins right end for -2 yards (tackle by Michael Wilhoite),0.670,-0.140
1,2:25,2,12,KAN 24,7,3,Alex Smith pass incomplete short right intended for Jamaal Charles,-0.140,-0.820
1,2:21,3,12,KAN 24,7,3,Alex Smith pass complete short right to Anthony Sherman for 12 yards (tackle by Eric Reid),-0.820,1.330
1,1:54,1,10,KAN 36,7,3,Jamaal Charles right guard for 9 yards (tackle by Patrick Willis),1.330,2.010
1,1:17,2,1,KAN 45,7,3,Jamaal Charles right guard for 7 yards (tackle by Ahmad Brooks),2.010,2.390
1,0:37,1,10,SFO 48,7,3,Knile Davis up the middle for 3 yards (tackle by Tony Jerod-Eddie),2.390,2.250
Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
