Unnamed: 0,KAN,SFO
First Downs,14,22
Rush-Yds-TDs,20-107-1,40-171-0
Cmp-Att-Yd-TD-INT,16-30-158-1-1,14-27-201-1-0
Sacked-Yards,0-0,3-15
Net Pass Yards,158,186
Total Yards,265,357
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,4-29,2-10
Third Down Conv.,6-11,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,23:56,36:04
