Quarter,Time,Tm,Detail,ARI,NYG
1.0,8:14,Cardinals,Chase Edmonds 20 yard rush (Zane Gonzalez kick),7,0
,4:15,Cardinals,Chase Edmonds 20 yard rush (Zane Gonzalez kick),14,0
2.0,13:30,Cardinals,Zane Gonzalez 47 yard field goal,17,0
,11:28,Giants,Rhett Ellison 28 yard pass from Daniel Jones (Aldrick Rosas kick),17,7
,9:52,Giants,Elijhaa Penny blocked punt recovery in end zone (Aldrick Rosas kick),17,14
3.0,6:05,Cardinals,Chase Edmonds 22 yard rush (Zane Gonzalez kick),24,14
4.0,8:13,Giants,Saquon Barkley 7 yard rush (Aldrick Rosas kick),24,21
,2:09,Cardinals,Zane Gonzalez 35 yard field goal,27,21
