Unnamed: 0,ARI,NYG
First Downs,18,21
Rush-Yds-TDs,38-156-3,22-107-1
Cmp-Att-Yd-TD-INT,14-21-104-0-0,22-35-223-1-1
Sacked-Yards,2-15,8-67
Net Pass Yards,89,156
Total Yards,245,263
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,10-85,6-75
Third Down Conv.,7-15,4-12
Fourth Down Conv.,1-1,1-3
Time of Possession,29:59,30:01
