Unnamed: 0,ARI,SEA
First Downs,13,16
Rush-Yds-TDs,20-113-1,36-144-0
Cmp-Att-Yd-TD-INT,12-33-132-0-1,20-38-192-1-0
Sacked-Yards,2-18,5-34
Net Pass Yards,114,158
Total Yards,227,302
Fumbles-Lost,4-4,1-1
Turnovers,5,1
Penalties-Yards,5-32,10-95
Third Down Conv.,2-12,7-21
Fourth Down Conv.,0-1,0-1
Time of Possession,22:43,37:17
