Quarter,Time,Tm,Detail,SFO,SEA
1.0,1:25,Seahawks,Jaron Brown 4 yard pass from Russell Wilson (Sebastian Janikowski kick failed),0,6
2.0,13:41,Seahawks,Tyler Lockett 52 yard pass from Russell Wilson (Sebastian Janikowski kick),0,13
,1:17,Seahawks,Doug Baldwin 1 yard pass from Russell Wilson (Sebastian Janikowski kick),0,20
,0:00,49ers,Robbie Gould 45 yard field goal,3,20
3.0,14:44,Seahawks,Rashaad Penny 20 yard rush (Sebastian Janikowski kick),3,27
,11:24,49ers,Dante Pettis 17 yard pass from Nick Mullens (Robbie Gould kick),10,27
4.0,14:17,Seahawks,Jaron Brown 18 yard pass from Russell Wilson (Sebastian Janikowski kick),10,34
,14:06,49ers,Dante Pettis 75 yard pass from Nick Mullens,16,34
,7:46,Seahawks,Sebastian Janikowski 40 yard field goal,16,37
,4:04,Seahawks,Bobby Wagner 98 yard interception return (Sebastian Janikowski kick failed),16,43
