Quarter,Time,Tm,Detail,ATL,PHI
2.0,8:56,Falcons,Roddy White 55 yard pass from Matt Ryan (Jason Elam kick),7,0
,2:25,Eagles,Donovan McNabb 3 yard rush (David Akers kick),7,7
,0:00,Eagles,David Akers 36 yard field goal,7,10
3.0,10:24,Eagles,Brian Westbrook 16 yard rush (David Akers kick),7,17
4.0,7:57,Eagles,David Akers 18 yard field goal,7,20
,3:55,Falcons,Roddy White 8 yard pass from Matt Ryan (Jason Elam kick),14,20
,1:51,Eagles,Brian Westbrook 39 yard rush (David Akers kick),14,27
