Unnamed: 0,ATL,PHI
First Downs,19,24
Rush-Yds-TDs,24-77-0,32-192-3
Cmp-Att-Yd-TD-INT,23-44-277-2-2,19-34-253-0-0
Sacked-Yards,2-19,2-13
Net Pass Yards,258,240
Total Yards,335,432
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,6-51,7-70
Third Down Conv.,6-16,3-12
Fourth Down Conv.,1-2,0-0
Time of Possession,27:39,32:21
