#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NOR 20,2,0:52,0,Interception
2,1,12:35,NOR 15,3,1:37,6,Punt
3,1,6:34,NOR 22,9,4:13,50,Downs
4,2,13:37,NOR 16,6,3:32,18,Punt
5,2,9:51,NOR 37,9,3:47,43,Field Goal
6,2,3:12,NOR 29,8,2:30,71,Touchdown
7,3,9:27,NOR 26,1,0:15,-8,Fumble
8,3,8:24,NOR 10,9,3:13,65,Field Goal
9,3,1:38,NOR 20,2,0:39,1,Interception
10,3,0:04,NOR 11,3,0:45,8,Fumble
11,4,14:19,NOR 21,9,4:48,79,Touchdown
12,4,7:55,NOR 9,4,1:53,15,Punt
