Unnamed: 0,IND,NOR
First Downs,20,20
Rush-Yds-TDs,28-100-0,25-155-1
Cmp-Att-Yd-TD-INT,21-27-327-6-0,21-36-228-1-2
Sacked-Yards,1-9,2-20
Net Pass Yards,318,208
Total Yards,418,363
Fumbles-Lost,3-0,3-2
Turnovers,0,4
Penalties-Yards,2-20,5-50
Third Down Conv.,7-11,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,31:56,28:04
