Quarter,Time,Tm,Detail,IND,NOR
1.0,12:35,Colts,Ricky Williams 17 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,6:34,Colts,Marvin Harrison 14 yard pass from Peyton Manning (Mike Vanderjagt kick),14,0
2.0,9:51,Colts,Marvin Harrison 79 yard pass from Peyton Manning (Mike Vanderjagt kick),21,0
,6:04,Saints,John Carney 38 yard field goal,21,3
,3:12,Colts,Mike Vanderjagt 41 yard field goal,24,3
,0:42,Saints,Deuce McAllister 1 yard rush (John Carney kick),24,10
3.0,9:27,Colts,Mike Vanderjagt 42 yard field goal,27,10
,8:24,Colts,Dominic Rhodes 12 yard pass from Peyton Manning (Mike Vanderjagt kick),34,10
,5:11,Saints,John Carney 43 yard field goal,34,13
,1:38,Colts,Marvin Harrison 32 yard pass from Peyton Manning (Mike Vanderjagt kick),41,13
,0:04,Colts,Dallas Clark 11 yard pass from Peyton Manning (Mike Vanderjagt kick),48,13
4.0,14:19,Colts,Dwight Freeney 19 yard defensive fumble return (Mike Vanderjagt kick),55,13
,9:31,Saints,Jerome Pathon 11 yard pass from Todd Bouman (James Fenderson pass from Todd Bouman),55,21
