Quarter,Time,Tm,Detail,MIN,PHI
2.0,9:01,Vikings,Blair Walsh 48 yard field goal,3,0
,8:48,Eagles,Josh Huff 98 yard kickoff return (Carson Wentz run),3,8
,0:07,Eagles,Caleb Sturgis 35 yard field goal,3,11
3.0,5:45,Eagles,Dorial Green-Beckham 5 yard pass from Carson Wentz (Caleb Sturgis kick),3,18
4.0,6:09,Eagles,Caleb Sturgis 21 yard field goal,3,21
,0:37,Vikings,Cordarrelle Patterson 14 yard pass from Sam Bradford (Blair Walsh kick),10,21
