Unnamed: 0,MIN,PHI
First Downs,18,15
Rush-Yds-TDs,27-93-0,26-101-0
Cmp-Att-Yd-TD-INT,24-41-224-1-1,16-28-138-1-2
Sacked-Yards,6-35,0-0
Net Pass Yards,189,138
Total Yards,282,239
Fumbles-Lost,5-3,4-2
Turnovers,4,4
Penalties-Yards,7-56,7-53
Third Down Conv.,9-19,4-11
Fourth Down Conv.,1-3,1-1
Time of Possession,32:08,27:52
