Unnamed: 0,BAL,CLE
First Downs,23,19
Rush-Yds-TDs,33-160-1,30-85-2
Cmp-Att-Yd-TD-INT,19-31-217-1-1,19-25-290-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,217,290
Total Yards,377,375
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-32,12-94
Third Down Conv.,4-12,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:55,29:05
