Quarter,Time,Tm,Detail,BAL,CLE
1.0,9:11,Ravens,Justin Tucker 38 yard field goal,3,0
,3:15,Browns,Terrance West 1 yard rush (Billy Cundiff kick),3,7
2.0,7:24,Ravens,Kyle Juszczyk 9 yard pass from Joe Flacco (Justin Tucker kick),10,7
3.0,10:01,Browns,Isaiah Crowell 14 yard rush (Billy Cundiff kick),10,14
,5:04,Ravens,Lorenzo Taliaferro 1 yard rush (Justin Tucker kick),17,14
,0:13,Browns,Miles Austin 4 yard pass from Brian Hoyer (Billy Cundiff kick),17,21
4.0,5:00,Ravens,Justin Tucker 21 yard field goal,20,21
,0:00,Ravens,Justin Tucker 32 yard field goal,23,21
