Quarter,Time,Tm,Detail,IND,HOU
1.0,10:44,Colts,Anthony Richardson 18 yard rush (Matt Gay kick),7,0
,9:13,Colts,Anthony Richardson 15 yard rush (Matt Gay kick),14,0
,3:14,Texans,Nico Collins 8 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,7
2.0,9:43,Colts,Zack Moss 11 yard rush (Matt Gay kick),21,7
,4:25,Texans,Ka'imi Fairbairn 29 yard field goal,21,10
,0:10,Colts,Kylen Granson 4 yard pass from Gardner Minshew II (Matt Gay kick),28,10
3.0,5:50,Colts,Matt Gay 42 yard field goal,31,10
4.0,13:24,Texans,Ka'imi Fairbairn 36 yard field goal,31,13
,9:48,Texans,Tank Dell 23 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),31,20
