Quarter,Time,Tm,Detail,PIT,KAN
1.0,8:47,Chiefs,Cairo Santos 30 yard field goal,0,3
,0:59,Steelers,Chris Boswell 24 yard field goal,3,3
2.0,8:55,Chiefs,Cairo Santos 22 yard field goal,3,6
,1:00,Chiefs,Cairo Santos 27 yard field goal,3,9
3.0,4:23,Chiefs,Charcandrick West 1 yard rush (Cairo Santos kick),3,16
,1:40,Steelers,Martavis Bryant 19 yard pass from Landry Jones (Chris Boswell kick),10,16
4.0,10:17,Steelers,Chris Boswell 36 yard field goal,13,16
,5:13,Chiefs,Chris Conley 6 yard pass from Alex Smith (Cairo Santos kick),13,23
